_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
0395470275,,微信号：grahamroad33,03 9547 0275,http://www.maison33.com,"33 Graham Road, Clayton South VIC 3169",Adult Services,5898,著名妓院 - 在水一方 Maison33 墨尔本成人服务,03 9547 0275,"<p class=""details""><img src=""Photo_links/Melbourne/5898_V9.JPG"" class=""logo"" width=""105"" alt=""著名妓院 - 在水一方 Maison33 墨尔本成人服务 Company Logo"">墨尔本著名妓院-在水一方欢迎您！近Clayton,Springvale, Glen Waverley。本店最新微信号:grahamroad33<br>
如果没有加成功请打店里电话，前台经理会帮您加好。<br>
我们提供全套服务，包括口活，做爱以及巧手按摩。当您光临时，友好且会说中文的前台接待将为您介绍并推荐最适合您的女孩。本店后院拥有大量私密泊车位，店中不同风格，装饰温馨的房间，定能让您感受到宾至如归的美妙，体验一次曼妙无比的旖旎之旅。<br>
在女孩技师方面，我们更为尊贵的您安排了来自世界各地的美艳佳丽。有风情万种的澳洲女孩，有热辣无比的东南亚姑娘，韩国时尚美女，日本学妹热情服务到位，更有欲说还休的娇羞华女。在这些技师中，您更有诸多选择，白领，学生，熟女，人妻，不尽相同。为了让贵客们有更多的奢华感受，我们更在白班与晚班之间进行不同的人员调配，让任何时候惠顾的您都有不一样的体验。环肥燕瘦，秀外慧中，日日更新，无一相同。<br>
网站：www.maison33.com<br>
地址：33 Graham Road, Clayton South, Vic 3169<br>
中文咨询电话:(03)95470275<br>
微信号: grahamroad33<br>
如果加不上请打电话到店里，前台经理会帮您加好，谢谢！<br>
价格：<br>
20分钟$95<br>
30分钟$110<br>
45分钟$160（可做两次）<br>
60分钟$210（可做两次）<br>
来店里选女孩时请说明是百事通看到的，一个钟（含）以上客人有$10优惠！<br>
可选择两个女孩为您服务，优惠更多，具体请咨询前台经理。<br>
寻芳路径：<br>
1:火车Train请在Westall station下车，之后走向Westall road向右走，不用过街道。大概走10分钟会看到Subway快餐店，再往前走一个路口就是Graham road, 我们是在右手边33号。<br>
2.公交车bus:824 在Graham Road下车<br>
902 在Ash Grove下<br>
3. Uber: City 过来$30, boxhill 过来$25，Glen Waverley 过来$15<br>
<br>
4.出租车：打电话132227<br>
<br>
回程店里可以帮忙为您打电话叫出租车。<br>
<br>
墨尔本对华人朋友服务最周到的墨尔本妓院！<br>
<br>
365天每天都营业（营业时间为早上10:30am 到晚上2点或者3点）<br>
<br>
（ happy safe sex please! 在水一方全体欢迎您来电0395470275，敬请诸位莅临本店参观指导）<br><br></p>"
,qinginmel@gmail.com,微信: limmassage,0420 245 796 (欢迎短信),,"Melbourne, VIC 3000",Adult Services,10945,墨尔本成人按摩 市区青柠小猫按摩，完美胴体，柔软的小手 释放你的欲望,0420 245 796 (欢迎短信),"<p class=""details""><img src=""Photo_links/Melbourne/10945_V1.jpg"" class=""logo"" width=""105"" alt=""墨尔本成人按摩 市区青柠小猫按摩，完美胴体，柔软的小手 释放你的欲望 Company Logo"">墨尔本的哥哥们大家好：）<br>
青柠小猫按摩是让哥哥们放松身心，释放压力和欲望的乐园哦。<br>
在CBD 靠近墨尔本中央车站（ Melbourne central station） 5分钟路程<br>
温馨，干净 完全私密，安全，放松的环境，让你忘却一天的烦恼<br>
在美丽按摩师的柔嫩小手的抚摸，压揉，在娇乳和玉腿的摩擦中让你的欲望膨胀到最高点后欢畅地释放出来。<br>
一定会用最高品质的服务换取哥哥们一次次的回头<br>
<br>
<br>
预约服务咨询详情 请哥哥们短信 0420245796<br>
或者加line : lemon.massage<br>
微信：limmassage<br><br></p>"
amy,support@bestong.com.au,pdingman97,0424094279,,"irving avenue, Box Hill, VIC 3128",Adult Services,10905,Amy 新学生妹 私钟陪睡 按摩解压 全套服务 BOXHILL,0424094279,"<p class=""details"">名字：Amy<br>
年龄：21<br>
身材：166cm,45kg,C罩杯<br>
地点：boxhill<br>
价格：30分钟/$130，45分钟/$180，60分钟/$230<br>
出钟：$350/1小时<br>
电话：0424094279<br>
微信：pdingman97<br>
<br>
哥哥们有兴趣的请联系我哟~ &gt;<br><br></p>"
SIS,support@bestong.com.au,topbrisbane,,,"墨爾本City 悉尼 布里斯本, Melbourne, VIC 3000",Adult Services,10982,SIS姐妹聯盟WC+topbrisbane,,"<p class=""details""><img src=""Photo_links/Melbourne/10982_V1.jpeg"" class=""logo"" width=""105"" alt=""SIS姐妹聯盟WC+topbrisbane Company Logo"">獨家 VIP一條龍服務<br>
墨爾本舒壓按摩 全套半套<br>
聯盟WC+topbrisbane <br>
In call/out call <br>
優質小學妹.輕熟女.少婦<br>
黑絲誘惑<br><br></p>"
,mengsisters@gmail.com,微信：cutesis08656,0421326598,,"Melbourne, VIC 3000",Adult Services,10968,萌妹服务，墨尔本约会私 全半 in out 服务,0421326598,"<p class=""details"">本地学妹，外围超模，服务女神，金牌萌妹们伴您度过快乐时光！<br>
最高端，最私密，最放纵的你的专属墨尔本后花园<br>
<br>
预约请加Line: mengsister (长期稳定）<br>
<br>
微信： cutesis08656<br>
<br>
电话： 0421326598 （最速回复）<br><br></p>"
judy,support@bestong.com.au,dingmanp97,0436097866,,"irving avenue, Box Hill, VIC 3128",Adult Services,10906,Judy新学生妹 私钟陪睡 按摩解压 全套服务 BOXHILL,0436097866,"<p class=""details"">名字：Judy<br>
年龄：21<br>
身材：165cm,45kg,C罩杯<br>
地点：boxhill<br>
价格：30分钟/$130，45分钟/$180，60分钟/$230<br>
出钟：$350/1小时<br>
电话：0436097866<br>
微信：dingmanp97<br>
<br>
哥哥们有兴趣的请联系我哟~ &gt;<br><br></p>"
0498017257,cassiachen1989@gmail.com,,0425911077,,"U 805 677 La Trobe St, DOCKLANDS, VIC 3008",Adult Services,10940,Super Panda Pty Ltd,0425911077,"<p class=""details"">墨尔本，珀斯中介 年轻漂亮女孩 服务好，可包夜，可陪驾，full serive half hour 130 hour 200 ，更有一条龙服务 欢迎咨询<br><br></p>"
,support@bestong.com.au,,0414146238,,"IRVING AVENUE, Box Hill, VIC 3128",Adult Services,10920,BELLA 马来西亚 21岁 学生私钟按摩下海全套服务,0414146238,"<p class=""details"">名字: Bella <br>
<br>
国籍: 马来西亚<br>
 <br>
服务：口交，接吻，有套做爱，口爆，颜射，69，鸳鸯浴，按摩解压<br>
<br>
​年龄:21<br>
<br>
身高:168<br>
<br>
体重:47kg<br>
<br>
​胸围:C<br>
<br>
地区:BOXHILL<br>
<br>
电话:0414146238<br>
微信:wolfman_520<br><br></p>"
may,support@bestong.com.au,amandadadar,0414146238,,"Box Hill, VIC 3128",Adult Services,10913,MAY 马来西亚华裔学生 只上两周 私钟私陪全套服务,0414146238,"<p class=""details"">你好 我是MAY, 由于家里经济出现状况 不得已干了这个 但是我只是暂时性的 希望哥哥们来捧场哦<br>
年龄：22<br>
身高：166<br>
体重：46kg<br>
罩杯：C<br>
<br>
30mins/$130,45mins/$180,60mins/$230<br>
<br>
微信：Amandadadar<br>
电话：0414146238<br>
说是要找May 的<br><br></p>"
Amy,support@bestong.com.au,wolfman_520,0424094279,,"Melbourne, VIC 3000",Adult Services,10936,墨尔本21岁私种全套服务 按摩解压,0424094279,"<p class=""details""><img src=""Photo_links/Melbourne/10936_V1.jpg"" class=""logo"" width=""105"" alt=""墨尔本21岁私种全套服务 按摩解压 Company Logo"">嗨 哥哥你们好<br>
我是刚到墨尔本的 新下海21岁墨尔本大学学生<br>
在这边做这行是因为想维持一下生活 还有帮忙家里应应急<br>
<br>
166cm，46cm，C cup，<br>
特点：娇小可爱，皮肤白 细腿 穿着干净 学生气质 墨尔本大学高材生 新下海 粉色乳头 身体名感 温柔体贴  <br>
<br>
电话号码：0424094279<br>
微信：pdingman97<br>
<br>
期待与你相遇哦 ：3<br><br></p>"
