_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
,,,03 8375 0388,,"76 Boardwalk Bvd,Point Cook, VIC 3030",Medical & Healthcare,8527,张秀杰牙科诊所,03 8375 0388,"<p class=""details"">由专业人士精心设计的Point Cook 第一家华人诊所。配备最先进的设备，环境舒适优雅，你可以边看电视边接受治疗，放松愉快。<br>
治疗项目：<br>
常规检查，预防牙科，儿童牙科，牙周病科，根管治疗，牙科急诊，无痛拔牙，牙齿美容，补牙洁牙，牙齿漂白，局部活动假牙，全部活动假牙，烤瓷牙冠，固定桥。<br><br></p>"
Stever  Hu    &amp;   Sherry   Wang,sherrywangshuying@gmail.com,03 98528966    QQ:584518020    Wechat:  wangshuying502,03 98528688        04 01902177,http://dentalinnovationgroup.com.au,34 church street Hawthorn VIC 3122,Medical & Healthcare,9672,Dental Innovation Group PTY LTD,03 98528688        04 01902177,"<p class=""details""><img src=""Photo_links/Melbourne/9672.jpg"" class=""logo"" width=""105"" alt=""Dental Innovation Group PTY LTD Company Logo"">03 98528688   创新齿科集团总结三十年齿科治疗经验，综合最新齿科科技，聚集各个专业牙科医生，为您提供一站式齿科服务。特设种值牙中心并推出保用终生承诺；小儿牙科中心（资深擅长小儿心理牙医并配有无痛电脑注射仪及笑气，免除孩子看牙的恐惧感）；齿科矫形中心；美容齿科中心（烤瓷牙冠和牙齿漂白）及活动假牙中心；并专长困难根管治疗；困难阻生齿拔除及高难度的活动假牙修复；详情电询：03  98528688<br>
<br>
地址：34 church  street Hawthorn  VIC3122  MELBOURNE<br><br></p>"
kitty,support@bestong.com.au,,0452488168,http://www.successcounselling.org,"123 Collins St, Melbourne VIC 3000",Medical & Healthcare,9332,成功心理咨讯 SUCCESS COUNSELLING SERVICES,0452488168,"<p class=""details"">澳洲心理諮詢協會註冊諮商師/治療師主理<br>
專業諮商輔導: 婚姻、家庭、親子關係問題<br>
心理/情緒治療: 自卑, 憂鬱, 焦慮, 怒氣,癮好<br>
電話諮詢 （可免费回拨电话至全澳洲，中国，美国，加拿大，台湾）    <br>
更多詳情請訪問網站www.successcounselling.org<br>
Mobile: 0438 668 689, 0452488168<br>
Wechat:  aohuaxinlifudao<br><br></p>"
,toorongadentistry@gmail.com,,03 9822 7006,http://www.toorongadentisty.com.au,"1,02/1 Crescent Rd,Glen Iris, VIC 3146",Medical & Healthcare,8594,Tooronga Family Dentistry,03 9822 7006,"<p class=""details"">我们服务包括：<br>
1、普通牙科：检查、洗牙、补牙<br>
2、根管治疗<br>
3、各种牙周疾病：牙龈出血、牙齿松动、牙周手术、除口腔异味<br>
4、拔牙：普通拔牙、手术拔牙、拔智牙<br>
5、牙齿修复：牙冠、牙桥<br>
6、儿童牙科：儿童牙病的预防和治疗<br>
7、美容牙科：牙齿漂白，牙齿美容<br>
8、可提供镇静剂，使病人在放松的状态下进行治疗<br>
9、HCF、CBHS指定牙医。<br><br></p>"
,,03 9841 6609,03 9841 6608,,"1032 Doncaster Rd,Doncaster East, VIC 3109",Medical & Healthcare,8365,黃環牙醫,03 9841 6608,"<p class=""details"">悉尼大学牙科学士，华西医科大学牙科学士、硕士、博士，澳洲澳洲牙医学会会员，原华西医科大学口腔医学院副教授。<br>
治疗项目：洁牙、补牙、拔牙，根管治疗，各式活动及固定假牙，牙齿美容漂白，牙周病预防及治疗，儿童牙病预防及治疗。<br><br></p>"
,,,03 9470 2904,,"342 High Street,Preston, VIC 3072",Medical & Healthcare,8623,Preston Smiles美容和牙医诊所,03 9470 2904,"<p class=""details"">本诊所采用最先进的设备，仪器及材料治疗。我们的牙医师会花时间悉心去了解您的需求和提供一般家庭牙科，美容牙科服务包括：<br>
1、检查牙齿<br>
2、洗牙、漂白<br>
3、根管，补牙<br>
4、拔牙，种牙<br>
5、隐形畸牙<br>
6、牙冠和牙桥<br><br></p>"
,,,03 9480 3188 / 0488 883 188,http://www.modermorthodontics.com.au,"suite 1,Ground Floor,340 Bell Street,Preston, VIC 3072",Medical & Healthcare,8463,现代牙齿矫正诊所,03 9480 3188 / 0488 883 188,"<p class=""details"">毕业于香港大学，可以用流利的国语和粤语与您交流沟通，解答您的疑问，确保您清楚明白一切有关治疗的情况，提供不同治疗方案，与您讨论，共同制定最适合您的治疗计划。所有治疗均由专科医生亲自操作。<br><br></p>"
,,03 8348 5511,03 8348 5500,,"234 Station Rd,Cairnlea, VIC 3023",Medical & Healthcare,8622,顶峰牙医诊所,03 8348 5500,"<p class=""details"">拥有20年中澳牙科临床经验，为您诚信提供以下诊疗项目：<br>
1、儿童牙科<br>
2、无痛拔牙，外科手术拔牙，拔智齿<br>
3、口腔病预防及治疗<br>
4、牙齿美容、美白<br>
5、牙冠牙桥<br>
6、根管牙科<br><br></p>"
Lionel,drljwu@yahoo.com,,0395442658,http://www.medifirst.com.au,"1381 Centre Road, Clayton 3168, Clayton, VIC 3168",Medical & Healthcare,9566,Medifirst Family Clinic,0395442658,"<p class=""details""><img src=""Photo_links/Melbourne/9566.jpg"" class=""logo"" width=""105"" alt=""Medifirst Family Clinic Company Logo"">Medifirst 诊所是一现代综合GP clinic，<br>
本中心拥有高端医疗设备，设计现代，环境优雅，欢迎您的光临！内、外、妇、儿、皮肤、耳鼻喉，免疫预防针由丰富经验的医生执诊<br>
<br>
<br>
我们的工作时间是：周一-周五 8点-----8点，周六 9点-----12点<br>
<br>
门前 703 / 733 巴士 Centre Rd 站<br>
Clayton 火车站      <br>
Address: 1381 Centre Road, Clayton 3168. (next to Clayton Road shopping district)<br>
Tel:   0395442658<br>
Fax: 03 95435308<br>
www.medifirst.com.au<br><br></p>"
何健医生,nihao@adcess.com.au,,(03) 9418 8588,http://www.drkentkuswanto.com.au/,"Suite 102a 320 Victoria Parade, East Melbourne, VIC, 3002",Medical & Healthcare,9830,何健妇产科专家,(03) 9418 8588,"<p class=""details"">何健 医生是澳大利亚墨尔本的妇产科执业专科医生。他在 Epworth Freemasons 妇产医院、圣文森 (St Vincent’s) 私立医院 和Mercy妇女医院为其私人患者提供治疗。何健还为 Box Hill、Werribee 和 Bundoora 提供会诊。<br>
<br>
何健于2004年毕业于墨尔本大学 (The University of Melbourne)。在医学院，他获得妇产科学业考试的最高分。他在墨尔本顶级妇女医院— Mercy 妇女医院和 Monash 医疗中心接受实习医生培训。这为他在复杂妇科手术和腹腔镜手术 (包括机器人手术) 方面积累了大量宝贵的临床经验和专业知识。他还为来自墨尔本顶级医学院—墨尔本大学和 Monash 大学的学生授课。<br>
<br>
何健在治疗各种女性妇科疾病方面拥有丰富经验，包括月经过多或不规律、卵巢囊肿、子宫肌瘤、子宫内膜异位症、宫颈涂片检查异常等。<br>
<br>
何健还为正常妊娠和高风险妊娠的女性提供治疗。他的目标是确保患者在整个妊娠及分娩过程中及时获得信息、准备充分并得到良好支持。妊娠和分娩令人兴奋和欣慰，但也会带来压力。重要的是，您与选择的产科医生交谈时感觉舒适，在整个妊娠和分娩过程中充满信心并获得良好支持。<br>
<br>
何健是一位印尼华侨。他在雅加达和新加坡长大，后定居墨尔本。他也可以讲普通话。<br>
<br>
预约网址：http://www.drkentkuswanto.com.au/<br><br></p>"
