_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
No.5 Sweeties,No.5sweetmaids@gmail.com,Sweetmaids,0401 226 689,http://No5sweetmaids.com,"5 Enterprise Drive, Berkeley Vale  NSW 2261",Adult Services,10375,悉尼成人服务 悉尼北区品牌妓院 - 甜美女仆 (No.5 Sweet Maids),0401 226 689,"<p class=""details"">雪梨北部海灘度假區，中央海岸購物中心旁，高檔混雜場囊括本地土生土長金髮女郎，妖嬈調皮歐美豪放不羈做作，及床上蕩婦嬌喘連連滿臉紅暈的亞洲學生妹。<br>
<br>
不二價全地區最優惠實在，最低的價格最好的品質換來今日給您最好的選擇。對，五號店就是您在悉尼、中央海岸、及紐卡斯爾這三大城市/地區最值得信賴的品牌店。<br>
<br>
折上折的一王二后被我們重新定義，金髮黑皮膚混雜亞洲音調的英文及笑聲，都是我們的特色。對，五號店，滿足您所需要的一切只是為了您意想不到的驚喜。<br>
<br>
歡迎光臨五號店，敬請期待每一天的甜蜜女僕 ~ <br>
<br>
<br>
中央海岸地区妓院！<br>
<br>
双飞给予$30折扣！！！<br>
莞式服务，毒龙，口爆，胸推，一皇二后应有尽有！！！<br>
<br>
上门酒店服务随叫随到！！<br>
<br>
5 Enterprise Drive, Berkeley Vale, Central Coast/Sydney/Newcastle     <br>
Brothel; Escort; Erotic Massage; Adult Service/Adult Entertainments<br><br></p>"
Kelly,hkno1massage@hotmail.com,,0416 588 399,http://www.sydneybestmassage.com,"Upstairs, 147 Ramsay Street, Haberfield NSW",Adult Services,9553,HK No.1 Massage,0416 588 399,"<p class=""details""><img src=""Photo_links/Sydney/9553_V10.jpg"" class=""logo"" width=""105"" alt=""HK No.1 Massage Company Logo"">特价优惠！！<br>
1. 30分钟足底按摩 ＋ 30分钟全身按摩，只需$70!!<br>
2. 凡是做满10次1小时港式按摩的客人，都会享受1次免费1小时港式按摩！<br>
<br>
If you are looking for the massage parlour with professional massage therapists and nice environment in Sydney inner west, such as Burwood, Strathfield, Ashfield, Petersham, Leichhardt, Lilyfidld, Five Dock and Haberfield. You definitely won't miss HK No.1 Massage!<br>
<br>
我们精于做港式指压按摩，韩国全身推油按摩和传统足底按摩。<br>
我们专业女技师每一次都会给您带来不同和高质量的按摩体验！在我们优雅舒适的环境里，您可以得到充足的放松和享受。<br>
<br>
We offer Hong Kong Style Finger Pressure Massage, Korean Oil Body Massage and Chinese Traditional Foot Massage. With our quality trained masseuses and our newly refurbished premises and new management, we are the premium establishment in Haberfield guaranteed to please.<br>
<br>
<br>
Finger Pressure Massage<br>
30mins ----------------------- $40<br>
45mins ----------------------- $50<br>
60mins ----------------------- $60<br>
<br>
Body Oil massage<br>
30mins ----------------------- $90<br>
45mins ----------------------- $110<br>
60mins ----------------------- $130<br>
<br>
Traditional Foot Massage<br>
30mins ----------------------- $40<br>
45mins ----------------------- $55<br>
60mins ----------------------- $70<br>
<br>
We open 7 days a week, 9am-7pm<br>
<br>
We are located at: Upstairs, 147 Ramsay Street, Haberfield NSW<br>
<br>
Please call us 0416 588 399 or 02 8540 1676 <br>
<br>
Email: hkno1massage@hotmail.com<br>
<br>
You can check us online for more services and girls: www.sydneybestmassage.com<br><br></p>"
arthur,diamondsclub_syd@hotmail.com,wechat：DiamondS-02,0420699999,http://www.diamondsclub.xxx,"Sydney CBD, NSW 2000",Adult Services,9907,DiamondS Club 高端oncall,0420699999,"<p class=""details"">DiamondS Club是位于悉尼市中心的顶尖伴游公司<br>
<br>
我们有着优质的独家资源：精挑细选的本地学援，兼职白领丽人，定期来巡游的高质素高内外围 明航空姐 车模 local 日韩 欧美辣妹 无一人真实年龄超过25岁！<br>
<br>
我们提供最高端的酒店套房，最舒适，最安全，最能带给您帝皇版的享受！<br>
<br>
我们有最高效的团队，诚实可靠的客服会根据您的一切要求帮您介绍到您的心头好。司机更是鞍前马后，为您的行程带来最舒适的享受！守时守信，接送到位！<br>
<br>
我们有最完善的vip和svip会员系统，我们将记次记消费总额来给予您打折和送时间的优惠福利活动，充值更将获得相应的超级折扣！<br>
<br>
我们将保证您不会再被态度恶劣的妹子，糟糕的环境，不真实的图片所困扰！ 力争做悉尼最靠谱中介！所谓的“坑”将绝不会在DiamondS出现！预祝大家来我们公司约的每一炮的走心走肾，获得完美体验！！<br>
<br>
最后附上我们的联系方式：<br>
Tel：0420699999<br>
网址：www.diamondsclub.xxx<br>
微信：diamonds-02<br><br></p>"
Jordan,support@bestong.com.au,WeChat: theroyalpalace69,0438883534,,"888 george st, Town Hall, NSW 2000",Adult Services,9853,Royal Palace,0438883534,"<p class=""details""><img src=""Photo_links/Sydney/9853.jpg"" class=""logo"" width=""105"" alt=""Royal Palace Company Logo"">♛ ROYAL PALACE ♛<br>
!!!女神推薦!!!:   <br>
【ROYAL PALACE】❤️女神初下海❤️模特的般的魔鬼身材<br>
21歲Pineapple<br>
放電大眼+嫵媚眼神<br>
性感姣好的臉蛋, 香甜可口的朱唇  皮肤洁白细腻,白裡透紅, 腰肢柔软有力, 超长~~~~笔直性感美腿, 極翹美臀,不输于模特的挺拔身材，友善亲和的态度<br>
<br>
等著你來想受~~<br>
臉蛋:★★★★★<br>
身材:★★★★★<br>
服務:★★★★★<br>
風情:★★★★★<br>
總結:爽翻天<br>
<br>
WeChat: theroyalpalace69<br>
Tele: 0438883534<br><br></p>"
,royalasian12@gmail.com,微信： rydalmere12,02 9638 4221 / 0421 775 866,http://royalasians.com.au/,"12 Euston st, Rydalmere NSW 2116",Adult Services,873,12 留连阁 Rydalmere  妙齡美少女 7天24小時,02 9638 4221 / 0421 775 866,"<p class=""details"">欢迎来到12 Rydalmere！<br>
<br>
在这里，我们致力于为我们的客户提供一种美妙的体验，保证愉悦和满足。我们所有的女孩全部是在美丽，稳重和成熟的基础上选出的。用众所周知的一流的服务和她们的热情为客户提供一次难忘的经历!<br>
<br>
全新豪华装修，请君来体验一把皇帝般的享受.<br>
中日韩港台新马泰各色佳丽任您挑选，也可为您上门出钟服务。<br>
<br>
交通便捷车位充足环境豪华私密。每一位佳丽皆各具特色，温柔似水，热情如火，妖娆妩媚，小家碧玉。更有新下海的羞涩斯文小美女等您品尝。<br>
<br>
给我们一个服务您的机会，我们回报您一次至尊奢华享受。<br>
<br>
大量停车位 / 位置隐蔽<br>
 <br>
欢迎新人加入，美女以及代理加盟 <br>
<br>
<br>
电话：  02 9638 4221 / 0421 775 866<br>
地址：12 Euston St, Rydalmere NSW 2116<br>
微信： rydalmere12<br>
网站：http://royalasians.com.au/<br>
<br>
欢迎美女加入我们，招聘电话：0421 775 866<br><br></p>"
,185guildford@gmail.com,,02 9553 7996,http://kogarahmassage.com.au,"Shop 2/20 Montgomery St,  Kogarah NSW 2217",Adult Services,10229,Kogarah 轻松美女按摩,02 9553 7996,"<p class=""details"">Kogarah Massage提供最好的服务。专业按摩，踩背，全身心放松享受。年轻靓丽小姐，顶级的环境，每天有3-4位善解人意、手<br>
法正宗推拿师，为您舒筋、全身保健，放松按摩，让您感受家一般温暖。<br><br></p>"
jason,wliioughby81@163.com,,80680886 0411528892,http://www.rubykiss.com.au,"278 Cleveland st Surry Hills, Surry Hills, NSW 2010",Adult Services,10063,Ruby kiss,80680886 0411528892,"<p class=""details""><img src=""Photo_links/Sydney/10063_V1.JPG"" class=""logo"" width=""105"" alt=""Ruby kiss Company Logo"">Rubykiss有来自日本 韩国 中国……还有各种不同国家混血的宝宝们。其中有网红、模特、小萝莉、人妻、淫娃、大波妹、高校女生，等待哥哥们的调教，也可以用你喜欢的方式发泄、做爱。让你欲仙欲爽，流连忘返。<br>
<br>
出钟服务：伴游、酒店私钟、绝对保证您的个人隐私。<br>
<br>
营业时间：10am - 凌晨 （365天 无休）<br>
<br>
微信：RubyKiss888<br>
️电话：0411-528-892, (02) 80680886<br>
网站：www.rubykiss.com.au<br>
邮件：<br>
地址：278 Cleveland Street, Surry Hills, NSW 2010<br>
靠近中央火车站 (Central Station) 步行2分钟<br>
<br>
<br>
光顾的时候请提及Bestong百事通网站、最多可以优惠10刀。<br>
欢迎您的来电，我们会呈上最热情的服务。️<br>
<br>
联系时请说明是在百事通网站看到的，谢谢。<br><br></p>"
,springhouse46@gmail.com,微信： springhouse46,02 9516 1104 / 0414 923 838,http://46springhouse.com.au/,"46 Sydenham Rd, Marrickville NSW 2204",Adult Services,4770,46 春之屋 Marrickville,02 9516 1104 / 0414 923 838,"<p class=""details"">每天不同美女，绝对年轻，任你挑选。服务顶级，既有温柔含蓄，又有激情狂野，更有魅力四射！女孩大多身材高挑，皮肤洁白超好，必能令君流连忘返。今天就行动吧。<br>
<br>
靠近机场<br>
靠近火车站 sydham station<br>
有很多停车位 <br>
 <br>
电话：02 9516 1104 / 0414 923 838<br>
地址：46 SYDENHAM RD, MARRICKVILLE, NSW<br>
微信： springhouse46<br>
网址：http://46springhouse.com.au/<br><br></p>"
Emma,Girlsout@icloud.com,微信号码：girlsout,Line or whatsapp 0411816413,http://escortsydney.net,,Adult Services,9067,日本，俄罗斯，澳洲，台湾，法国美女出钟,Line or whatsapp 0411816413,"<p class=""details""><img src=""Photo_links/Sydney/9067.jpg"" class=""logo"" width=""105"" alt=""日本，俄罗斯，澳洲，台湾，法国美女出钟 Company Logo"">出钟，伴游，陪酒，陪赌年轻学妹，日本韩国台湾香港俄罗斯澳洲.......汇聚各国美女。<br>
<br>
Sydney escort has the best collection of young,beautiful Asian girls. Our aim is to provide the best service to satisfy any your needs and desires. providing wide range of escorts who know how to pleasure you in any situation. We guarantee best service at a good reasonable price. Our Diamond Girls also travel to zetland escorts,parramatta escorts,north Sydney escorts, kirribilli escorts ...<br>
シドニーエスコートは若くて綺麗な女の子が勢ぞろいしてます。AV単体女優、高級クラブ、雑誌モデル、OL、ロリ系、現役大学生ご用意させて頂いております。最高級のおもてなしを提供いたします。エスコートシドニーはZetland ,Parramata,North Sydney ,Kirribilli にも出張できます。<br><br></p>"
joe,joejoe244244@gmail.com,gangnamgirls,0424593128,http://gangnamgirls.com.au,"48 kellett street, potts point, NSW 2011",Adult Services,10433,Angel Inn (色天堂),0424593128,"<p class=""details""><img src=""Photo_links/Sydney/10433_V8.jpg"" class=""logo"" width=""105"" alt=""Angel Inn (色天堂) Company Logo"">Escort Quality, Shop Price!<br>
<br>
大家好，以下是小编和MR sexy joe的一段对话，以便大家多了解一下ANGEL INN<br>
<br>
小编：hello MR sexy Joe<br>
Joe：啥事？<br>
小编：咱家都啥服务啊？<br>
Joe：啥都有啊，水床，胸推，臀推，裸吹，毒龙，69，口爆。另外可以预约丝袜，丝足。<br>
小编：这么全面呢:love:<br>
Joe：必须的<br>
小编：妹子都是哪的？<br>
Joe：全是俺们中国滴<br>
小编：为啥不弄点鬼妹，日韩什么的？<br>
Joe：钱不能都让她们赚去啊，我们要想着伟大的祖国啊！！<br>
小编：好吧。那咱们伟大祖国妹子服务咋样啊？<br>
Joe：必须好啊，本人承诺，不好退钱！<br>
小编：那咱有啥想和广大客户上帝说的呢？<br>
Joe：少年红粉共风流，锦帐春宵恋不休。 咿咿呀呀汗如雨，狂魂疑是入仙舟<br>
最后，我们要响应习主席号召：撸 起 袖 子 加 油 干！！<br>
<br>
EROTIC MASSAGE (MASSAGE+HANDJOB)<br>
100AUD--30MINS<br>
120AUD--45MINS<br>
140AUD--60MINS<br>
<br>
Regular full service<br>
110AUD--30MINS<br>
140AUD--45MINS<br>
170AUD--60MINS<br>
<br>
Premium full service（including BBBJ,）<br>
130AUD--30MINS<br>
160AUD--45MINS<br>
190AUD--60MINS<br>
<br>
VIP full service (nuru massage. bbbj. 69. rimming)<br>
200AUD--45MINS<br>
260AUD--60MINS<br><br></p>"
