_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
,,,02 9745 2484,,"1st Floor, 183 Burwood Rd, Burwood NSW 2134",Denture & Dentists,1600,牙醫診所 Burwood,02 9745 2484,"<p class=""details""><br><br></p>"
,,,02 9643 2289,,"1/F., 92- 94 SOUTH PDE, AUBURN NSW 2144",Denture & Dentists,1606,馮樹文牙科醫生 PHUNG VINCENT,02 9643 2289,"<p class=""details""><br><br></p>"
Sharon Tan,,,02 9264 3303,,Suite 1 Level 1 650 George St Sydney NSW 2000,Denture & Dentists,1598,Our Dentist,02 9264 3303,"<p class=""details""><br><br></p>"
,,,02 9267 7174 / 9787 3473 / 0416 268 368 / 0431 646 566,http://www.gentledentist.com.au/,"Suite 5, G/F 377 Sussex St, Sydney NSW 2000",Denture & Dentists,1596,The Gentle Dentist,02 9267 7174 / 9787 3473 / 0416 268 368 / 0431 646 566,"<p class=""details"">洗牙，漂白牙齿<br>
补牙脱牙<br>
根管治疗<br>
牙齿矫形美化<br>
美丽瓷片<br>
活动及固定假牙<br>
牙套<br>
口腔外科<br>
种植牙齿<br>
特别推出以下最新技术:IMTEC微型植牙，假牙固定方法是孝心儿女给父母的最佳礼物。<br>
只需一小时，一个步骤，即时可用！<br>
Campsie<br>
1st Floor,264 Beamish Street,Campsie NSW 2194<br>
Tel：02 9787 3473<br>
开诊时间：9am-8pm<br>
City<br>
Suite 5,G/F,377 Sussex St,Sydney NSW 2000<br>
Tel:02 9267 7174<br>
开诊时间：9am-6:30pm<br>
热线：9787 3473<br>
24小时急线：0416 268 368<br>
0431 646 566<br>
最新科技：镭射漂白，只需一小时，便能拥有洁白无瑕的牙齿。<br>
夜间牙医门诊 专为上班人士可设<br>
晚间7时以后 周一至周日 敬请预约<br>
请向我们咨询如何利用MEDICARE支付你的牙医费用<br>
七天开诊<br>
网址：www.gentledentist.com.au <br><br></p>"
,,,02 9716 7228,,"302 Liverpool Rd, Ashfield, NSW 2131",Denture & Dentists,1601,Ashfield 瑞欣齒科醫療中心,02 9716 7228,"<p class=""details"">王晓华医生 Dr.Jenny Wang(英，国，沪，粤)<br>
澳大利亚牙医委员会（皇家墨尔本齿科医院）认证齿科医师<br>
澳大利亚新南威尔士州大学医疗管理专业硕士<br>
上海第二医科大学口腔医学学士<br>
原上海中美合资瑞斯国际齿科医疗中心主治医师<br>
原上海中日合资厚诚国际齿科医疗中心主治医师<br>
刘付海燕医生 Dr.Sabrina Liu(英语，国语，粤语)<br>
北京大学口腔医学学士<br>
宋婕医生 Dr.Jie Song(英语，国语)<br>
澳大利亚牙医委员会认证齿科医师<br>
西安交通大学口腔医学学士<br>
诊疗项目：<br>
最新纳米科技树脂补牙<br>
牙龈炎及牙周炎全面治疗<br>
乳牙，一般牙及智慧牙拔除<br>
传统金属烤瓷及最新全瓷牙冠及牙桥<br>
活动性假牙牙托<br>
超声波洗牙及美容型牙齿漂白<br>
儿童青少年及成人牙齿矫正<br>
全新装修齿科诊疗中心<br>
全新先进齿科诊疗及消毒设备<br>
全面严格的齿科消毒程序<br>
可使用各种齿科医保险<br>
最合理的诊疗收费<br>
免费提供儿童牙科健康咨询<br>
现为Medicare病人和持有Medicare青少年$157VouCHER提供免费的牙科治疗，附条件限制欢迎咨询。<br>
电话：02-9716 7228周一至周六<br>
地址：302 Liverpool Rd,Ashfield,NSW 2131 <br><br></p>"
Daniel,minly_chen@hotmail.com,97971694,9797 0960,http://www.chiro.mq.edu.au/clinics,"40 Lackey Street, Summer Hill 2130",Denture & Dentists,8907,悉尼麦考瑞大学医学院脊椎腰椎颈椎推拿实习诊所,9797 0960,"<p class=""details"">悉尼廉价推拿按摩治疗中心<br>
悉尼麦考瑞大学医学院脊椎腰椎颈椎推拿实习诊所 Macquarie University Chiropractic Clinic （腰，背，颈疾病 疼痛的按摩, 推拿, 理疗, 针灸治疗）<br>
这是麦考瑞大学医学院脊椎腰椎颈椎骨骼神经专业最后一年的学生实习的地方，实习学生在获得一定的病人数目后能毕业获得脊椎推拿师资格（治疗价格不再低廉）。 因为价廉 且专业，本人在试过一次他们的治疗后愿意向华人社区推介。实习诊所有三个地点：伊士活Eastwood，麦考瑞大学Macquarie University，夏日山/萨默山Summer Hill。<br>
* 以下时间为参考 ，请在有华语服务的时间致电诊所电话，获得所需资讯。<br>
伊士活Eastwood电话02 9858 3723，麦考瑞大学本部诊所Macquarie University电话02 9850 1350，夏日山/萨默山Summer Hill电话 02 9797 0960。<br>
<br>
以下是各个地点的华语（广东话，普通话）服务时间   <br>
夏日山/萨默山summer hill <br>
<br>
粤语 Daniel（实习治疗师）<br>
周一12-4PM   周四4-8PM    周六 12-4PM<br>
粤语Penny Chou 周小姐（前台接待及实习治疗师）<br>
周六 8am-12<br>
粤语 程小姐 （仅做医治）<br>
周二 4-8PM<br>
周四 12-4PM<br>
<br>
普通话<br>
po-hui huang 黄小姐 （前台接待及实习治疗师）<br>
周五 4-8PM（做治疗）<br>
周四在伊士活Eastwood  12-4PM（前台接待）<br><br></p>"
,,,02 9798 8839,,"SHOP 54/1, BROWN ST, ASHFIELD NSW 2131",Denture & Dentists,1604,郭子龍牙科醫生 KWOK EDWIN DENTAL SURGERY,02 9798 8839,"<p class=""details""><br><br></p>"
Dr Hong Chang,eastwood@experteeth.com.au,sydneydentist,02 9410 1080,http://experteeth.com.au/zh,"Shop 2B, 71-73 Archer st, chatswood NSW 2067",Denture & Dentists,8930,益白齿科 悉尼牙科诊所 Experteeth Dental Sydney | Chatswood | Eastwood,02 9410 1080,"<p class=""details""><img src=""Photo_links/Sydney/8930_V9.png"" class=""logo"" width=""105"" alt=""益白齿科 悉尼牙科诊所 Experteeth Dental Sydney | Chatswood | Eastwood Company Logo"">昌鸿 牙科医师          Dr Hong Chang<br>
郑妍 牙科医师          Dr Christina Zheng<br>
苏毅 牙科医师          Dr Joshua Su<br>
郑意靖 牙科医师       Dr Rachel Cheung<br>
刘博凡 牙科医师       Dr Berwyn Liu<br>
<br>
Experteeth Dental 益白齿科悉尼牙医诊所，位于悉尼的市中心City，主要华人区北区Chatswood以及西北区Eastwood。<br>
<br>
悉尼益白齿科Sydney City旗舰牙医诊所位于悉尼City市中心购物区Westfield旁边，Chanel香奈儿旗舰店楼上，Bvlgari宝格丽专卖店旁。诊所对面即是Dior专卖店与MLC。如果您乘坐火车，最近的车站为St James车站。<br>
<br>
益白齿科Sydney City旗舰牙医诊所配备有最齐全最先进的设备：包括数字牙科CT扫描仪，数字3D全脸软组织扫描仪，超高清口内照相机，无痛STA Wand麻药注射机，激光镭射Biolase软组织管理器，瑞士普兰梅卡全数字化超舒适型牙椅，全数字化诊所管理及病历系统，最高评级的交叉感染防范措施等等。<br>
<br>
我们在悉尼市中心，最专业的牙医为您的牙齿保驾护航。<br>
<br>
悉尼益白牙科Chatswood牙医诊所位于悉尼北区Chatswood市中心的位置，Archer St和Victoria Ave交界处，警察局及North Shore补习班旁边，Bupa保险公司Chatswood分点斜对面。<br>
<br>
在悉尼的北部Chatswood（车士活），这里是您的口腔牙科之家。我们希望提供给您一个家的温馨感觉，让看牙医洗牙变成一种享受。<br>
<br>
悉尼益白齿科Eastwood（伊士活）牙医诊所，原名Eastside Gardens Dental Centre。我们位于悉尼 Eastwood 市中心，距离火车站步行仅5分钟，邻近 Rhodes, Epping，Carlingford等区。<br>
<br>
在悉尼的西北部，这里是您的口腔牙科之家。我们希望提供给您一个家的温馨感觉，让看牙洗牙变成一种享受。<br>
<br>
诊所地址和联系方式：<br>
<br>
Experteeth Dental 益白齿科 Sydney 牙医诊所<br>
Suite 202, L2, 70 Castlereagh St<br>
Sydney NSW 2000<br>
<br>
Email : city@experteeth.com.au<br>
Phone : (02) 9232 4051<br>
<br>
Business hours<br>
周一至周五: 9.30 am – 5.30 pm<br>
周六: By Appointment Only<br>
<br>
Experteeth Dental 益白齿科 Chatswood 牙医诊所 <br>
Shop 2B, 71-73 Archer St<br>
Chatswood NSW 2067<br>
<br>
Email : chatswood@experteeth.com.au<br>
Phone : (02) 9410 1080<br>
<br>
Business hours<br>
周一至周五 : 9.30 am – 5.30 pm<br>
周六日： 9.30 am – 5.00 pm<br>
<br>
Experteeth Dental 益白齿科 Eastwood牙医诊所<br>
Shop112, Retail Level 1<br>
62-80 Rowe St Eastwood NSW 2122<br>
<br>
Email : eastwood@experteeth.com.au<br>
Phone : (02) 9858 3636<br>
<br>
Business hours<br>
周一至周五: 9.30 am – 6.00 pm<br>
周六： 9.30 am – 5.00 pm<br>
<br>
我们的牙医有着纯正的中国背景，且毕业于澳大利亚正规名牌大学。让您在悉尼同样可以在享受到最正规的牙医操作方式的同时无障碍地与牙医沟通您的需求与顾虑。悉尼市中心的旗舰诊所提供牙科CT，口内3D扫描仪等先进仪器，一站式种植牙，牙齿矫正，无痛无损伤牙齿美白均为我们的特色服务。<br>
<br>
<br>
我们不是一间旨在赚钱的高端牙科诊所。在种植牙中心，美白中心林立的悉尼市中心，Chatswood与Eastwood，我们选择做别人不愿意做的事情。预防与保健，虽然不是最赚钱的，但恰恰是最重要的。大部分的牙病都是可以预防的，如果人人都有定期检查，定期洗牙的习惯，那么大部分的牙病将不复存在。从这个观点出发，我们诊所与其他美白种植中心的不同，旨在为您提供真正的贴心服务。<br>
<br>
<br>
我们提供：<br>
- 新患者免费检查及洗牙服务（私人保险）<br>
- 种植牙、牙齿矫正套餐咨询估价服务<br>
- 急诊当天就诊服务<br>
- 大陆背景牙医护士，无障碍的沟通<br>
<br>
更多请访问 http://experteeth.com.au/zh/<br>
<br>
欢迎致电诊所 02 9410 1080 或 1300 660 103 预约，前台及医生均可说中文。<br>
<br>
<br>
""我是一名在墨尔本大学毕业的牙医，是福建人，现在在悉尼开业。曾经我也和大部分人一样茫然的来到澳洲，在澳洲一个人留学打拼。我也牙痛过，在澳洲开过阑尾，拔过智齿，上过法庭。深知中国人在澳洲的不易，障碍不只是语言上，还有观念上，文化上的。所以现在我回到悉尼，也励志要为华人同胞提供一个可信赖的平台。欢迎大家来看牙！<br>
<br>
很多朋友们现在都被牙疼所困扰，着急着问哪里有靠谱的牙医，哪个保险公司靠谱。这是一个误区造成的，在国内的习惯我们通常有病才找医生。其实这个观念是很不对的。很多牙病，包括蛀牙，牙周病，都是可以预防的。在澳洲私人保险很多保险公司也是对预防性洗牙检查给的赔付最多，这是因为保险公司知道如果人人都去检查牙齿，很大一部分的根管种牙都是不需要的。很多华人牙医也都是注重治疗，忽视预防，跟患者说“你做这个，肯定没有问题，我们的烤瓷牙10年质保”，其实哪里有什么质保，再好的假牙，也没有自己的牙齿来的好。人总是不如上帝，造出来的东西总是有缺陷。这是我的真心话，预防比治疗重要的多。不只是牙齿，身体更是如此。每年一次的定时体检，两次的定时洗牙，才是跟医生说再见的最好方法。<br>
<br>
很多在澳洲的牙医当听到你要回国做治疗就会态度不好，说国内医生的水平不好。平心而论，国内并不是水平不好，最大的问题在于参差不齐。出国的朋友国内多少有点关系，找个大医院熟悉的主任，水平不比澳洲差。还有就是牙病通常都不好拖，拖下去会有恶化或者断牙的危险，治疗也就越来越复杂，效果也会跟着变差。所以，如果你牙痛，千万不要忍着，如果你最近有要回国的计划，在澳洲找个牙医，做个紧急止痛排流，再回国完成治疗。最重要的是，回国的时候千万不要只治疗一颗牙齿，要把全部的牙病都查出来，无论大小，一一完成治疗，然后来到澳洲后找一个可以信赖的牙医，定时检查洗牙。<br>
<br>
如果您在澳洲有意找一个可以信赖的牙医，以预防为主的牙医，真正关心您的牙医，欢迎来诊所咨询。我们与bupa保险公司签约合作，致力于给患者提供一个可以信赖的家庭氛围。欢迎致电预约 02 9410 1080<br><br></p>"
,sevendaysdental@gmail.com,,(02)94115663/ 0403100535,http://www.7daysdental.com.au/,"Suite 2, 12 Thomas Street, Chatswood, NSW 2067",Denture & Dentists,9273,Seven Days Dental Chatswood,(02)94115663/ 0403100535,"<p class=""details"">我们是一家在Chatswood( 车士活)成立至今有30年历史的资深牙科诊所。本着以人为本，诚信行医的宗旨竭诚为大家提供一个安全卫生的诊疗环境和高质量的治疗服务。整个治疗团队都有定期参加澳洲牙科协会举行的卫生预防控制的讲座，严格按照其规章制度来看诊以及消毒医疗器具。我们的牙医关心您的健康和感受，尽力让您减轻看牙的痛苦。希望通过我们的努力， 让您能在异乡找到值得信任的牙医。他们会中，粤，英多种语言，方便与您沟通。我们的诊所靠近火车站，优越的地理位置使您就诊更为方便。<br>
<br>
我们是Medibank Private，Bupa 的指定牙科诊所，同时也接受其他私人医疗保险以及政府为儿童提供的看牙福利<br>
<br>
我们提供的服务颇为广泛，由基本的牙科服务如洗牙，补牙，美白，以至复杂的治疗如根管治疗，拔智齿，牙齿矫正和植牙等。<br>
我们的牙医也特别重视学童牙科保健服务。希望通过对于学童的定期牙齿检查来指导和帮助他们预防牙患以及明白口腔健康的重要性。<br>
<br>
如您有任何牙齿方面的困惑，请通过我们的网站联系我们，我们会竭尽所能向您提供帮助。<br>
<br>
您美丽的笑容是我们工作的最大动力！<br><br></p>"
Quincy,quincy@qcdental.com.au,,94111000,http://www.qcdental.com.au,"Shop 45, Chatswood Interchange, Chatswood, NSW 2067",Denture & Dentists,9576,QC Dental.,94111000,"<p class=""details""><img src=""Photo_links/Sydney/9576.jpg"" class=""logo"" width=""105"" alt=""QC Dental. Company Logo"">QC Dental at Chatswood Interchange, opened by Dr Quincy Cheuk. You will receive long lasting and comfortable dental treatment in the most gentle way. Our purpose is to provide dentistry that you will not worry about.<br><br></p>"
