_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
Jenni 吕,info@lovemapping.com.au,Atbtm777,0434202628,http://lovemapping.com.au,37/1-9 Palmer St Parramatta NSW 2150,Medical & Healthcare,10713,新年送免费亚健康测试 - Love Mapping Pty Ltd  爱和顺教育有限公司,0434202628,"<p class=""details""><img src=""Photo_links/Sydney/10713.png"" class=""logo"" width=""105"" alt=""新年送免费亚健康测试 - Love Mapping Pty Ltd  爱和顺教育有限公司 Company Logo"">新年免费：<br>
•	送给你亚健康测试，名额有限，需要预约<br>
•	开班爱的公益课：父母关系，伴侣关系，亲子关系，健康关系和财富关系等<br>
<br>
<br>
Jenni 吕是澳洲注册认证的快速核心治疗师，提供营养健康，心理治疗和命理运程的身心灵全方位服务。<br>
<br>
	不用吃药，我的骨质疏松好转了，肝病指数一年一年地下降了<br>
	不用看心理医生，我和伴侣关系从分开到和好温馨<br>
	不用补习，我的孩子从OC班，精英中学到悉尼大学<br>
<br>
如果你不满于现状，如果你不想靠福利部生活，<br>
如果你想生活越来越如意，如果你想越来越富有，请联系我们！<br>
<br>
欢迎个人，公司，组织和社团咨询～<br>
<br>
提供：上门服务，面对面服务，微信，Skype 和 Face-Time 服务<br>
<br>
语言：粤语，国语和英语<br>
电话: +61 (0) 434202628<br>
邮箱: info@lovemapping.com.au<br>
网站: lovemapping.com.au<br>
微信号：Atbtm777<br><br></p>"
,,,02 9411 5858,,"134 HAMPDEN RD, ARTARMON NSW 2064",Medical & Healthcare,1437,何醫生 HOR DOUGLAS ARTARMON MEDICAL CENTRE,02 9411 5858,"<p class=""details""><br><br></p>"
劉恭賢,,,02 9212 3953,,"191 Hay St, Haymarket NSW 2000",Medical & Healthcare,1414,雪梨中央 醫療中心,02 9212 3953,"<p class=""details""><br><br></p>"
Juliana,info@bhdentalclinic.com.au,wechat: siukwongjk,0288470293,http://www.bhdentalclinic.com.au,"102 Sanctuary Drive, Beaumont Hills, NSW 2155",Medical & Healthcare,10294,香港大學澳洲註冊牙醫 尹元晧牙科醫生,0288470293,"<p class=""details""><img src=""Photo_links/Sydney/10294_V1.JPG"" class=""logo"" width=""105"" alt=""香港大學澳洲註冊牙醫 尹元晧牙科醫生 Company Logo"">世界牙科權威大學畢業 澳洲註冊牙醫 超過14年牙科經驗 專治複雜的口腔問題<br>
<br>
尹元晧牙科医生在2003年毕业于香港大学牙医学院。香港大学牙医学院是世界顶级学府， 连续两年（2016及2017年）荣登全球世界大学牙医学院第一位，技术和牙科知识被受世界尊崇。<br>
<br>
尹医生对家庭牙医学有浓厚兴趣，于2006年在香港大学开始接受临床研究培训，并在2008年获颁发牙医全科深造文凭。其后，尹医生继续于香港牙科医学院接受家庭牙医专科培训，综合各牙科专科的科学知识 ，主治较复杂的口腔问题，直至2012年移居澳洲。<br>
<br>
尹医生继续进修不同课程，包括澳洲综合矫齿课程、隐适美课程，以及分别由瑞士Nobel Biocare、瑞士Straumann和德国法兰克福大学所举办的植齿课程。自2006年起，尹医生开始为病人提供植齿服务，现为国际口腔种植学会会员。尹医生亦是隐适美认可医师，为病人提供矫齿服务。<br>
<br>
尹医生亦热心页献社会，现为悉尼大学牙医学院临床导师，督导牙科学生。亦为报章《号角》撰写有关牙科资讯的文章。<br><br></p>"
Quincy,quincy@qcdental.com.au,,94111000,http://www.qcdental.com.au,"Shop 45, Chatswood Interchange, Chatswood, NSW 2067",Medical & Healthcare,9576,QC Dental.,94111000,"<p class=""details""><img src=""Photo_links/Sydney/9576.jpg"" class=""logo"" width=""105"" alt=""QC Dental. Company Logo"">QC Dental at Chatswood Interchange, opened by Dr Quincy Cheuk. You will receive long lasting and comfortable dental treatment in the most gentle way. Our purpose is to provide dentistry that you will not worry about.<br><br></p>"
,sevendaysdental@gmail.com,,(02)94115663/ 0403100535,http://www.7daysdental.com.au/,"Suite 2, 12 Thomas Street, Chatswood, NSW 2067",Medical & Healthcare,9273,Seven Days Dental Chatswood,(02)94115663/ 0403100535,"<p class=""details"">我们是一家在Chatswood( 车士活)成立至今有30年历史的资深牙科诊所。本着以人为本，诚信行医的宗旨竭诚为大家提供一个安全卫生的诊疗环境和高质量的治疗服务。整个治疗团队都有定期参加澳洲牙科协会举行的卫生预防控制的讲座，严格按照其规章制度来看诊以及消毒医疗器具。我们的牙医关心您的健康和感受，尽力让您减轻看牙的痛苦。希望通过我们的努力， 让您能在异乡找到值得信任的牙医。他们会中，粤，英多种语言，方便与您沟通。我们的诊所靠近火车站，优越的地理位置使您就诊更为方便。<br>
<br>
我们是Medibank Private，Bupa 的指定牙科诊所，同时也接受其他私人医疗保险以及政府为儿童提供的看牙福利<br>
<br>
我们提供的服务颇为广泛，由基本的牙科服务如洗牙，补牙，美白，以至复杂的治疗如根管治疗，拔智齿，牙齿矫正和植牙等。<br>
我们的牙医也特别重视学童牙科保健服务。希望通过对于学童的定期牙齿检查来指导和帮助他们预防牙患以及明白口腔健康的重要性。<br>
<br>
如您有任何牙齿方面的困惑，请通过我们的网站联系我们，我们会竭尽所能向您提供帮助。<br>
<br>
您美丽的笑容是我们工作的最大动力！<br><br></p>"
黃慧,drhuih@gmail.com,,02-97978999,,"Shop5, 17-20 the Esplanade, Ashfield NSW 2131",Medical & Healthcare,8883,黃慧醫生,02-97978999,"<p class=""details"">女西醫，普通科。<br><br></p>"
Daniel,minly_chen@hotmail.com,97971694,9797 0960,http://www.chiro.mq.edu.au/clinics,"40 Lackey Street, Summer Hill 2130",Medical & Healthcare,8907,悉尼麦考瑞大学医学院脊椎腰椎颈椎推拿实习诊所,9797 0960,"<p class=""details"">悉尼廉价推拿按摩治疗中心<br>
悉尼麦考瑞大学医学院脊椎腰椎颈椎推拿实习诊所 Macquarie University Chiropractic Clinic （腰，背，颈疾病 疼痛的按摩, 推拿, 理疗, 针灸治疗）<br>
这是麦考瑞大学医学院脊椎腰椎颈椎骨骼神经专业最后一年的学生实习的地方，实习学生在获得一定的病人数目后能毕业获得脊椎推拿师资格（治疗价格不再低廉）。 因为价廉 且专业，本人在试过一次他们的治疗后愿意向华人社区推介。实习诊所有三个地点：伊士活Eastwood，麦考瑞大学Macquarie University，夏日山/萨默山Summer Hill。<br>
* 以下时间为参考 ，请在有华语服务的时间致电诊所电话，获得所需资讯。<br>
伊士活Eastwood电话02 9858 3723，麦考瑞大学本部诊所Macquarie University电话02 9850 1350，夏日山/萨默山Summer Hill电话 02 9797 0960。<br>
<br>
以下是各个地点的华语（广东话，普通话）服务时间   <br>
夏日山/萨默山summer hill <br>
<br>
粤语 Daniel（实习治疗师）<br>
周一12-4PM   周四4-8PM    周六 12-4PM<br>
粤语Penny Chou 周小姐（前台接待及实习治疗师）<br>
周六 8am-12<br>
粤语 程小姐 （仅做医治）<br>
周二 4-8PM<br>
周四 12-4PM<br>
<br>
普通话<br>
po-hui huang 黄小姐 （前台接待及实习治疗师）<br>
周五 4-8PM（做治疗）<br>
周四在伊士活Eastwood  12-4PM（前台接待）<br><br></p>"
苗壮医生,Sydneymindcareclinic@gmail.com,02-9858 4466,02 9858 1192 or 02 9433 1509,http://Sydneymindcareclinic.com.au,"Suite14, 247 Ryedale Rd, Eastwood, NSW 2122",Medical & Healthcare,9799,Dr Miao 精神科专家诊所,02 9858 1192 or 02 9433 1509,"<p class=""details"">苗壮医生是澳大利亚注册精神心理专家和纽澳皇家精神学院毕业院士。苗医生在公立医院Macquarie Hospital 和私立医院Northside Clinic 任职。她的私人诊所在Northside Clinic at St Leonards 和 Ryde Psych Services at Eastwood. 可以用流利国语和英语与你交流。详细个人介绍请查看sydneymindcareclinic.com.au<br><br></p>"
李亚丽 Yali,support@bestong.com.au,,02-97164887 0449668565,http://www.reliabledenture.com.au,Shop11 2A Brown Street Ashfield NSW 2131,Medical & Healthcare,10768,李亚丽假牙专科诊所,02-97164887 0449668565,"<p class=""details"">我们专业提供各项跟假牙相关的服务。全新假牙设计，制作。包括全口塑胶假牙，局部金属支架式假牙，吸附性假牙，隐形假牙，以及各种颜色，图案的运动护齿套。<br>
<br>
各种不同情况的假牙维修，当日可取，没有缺牙时间。比如假牙断裂，假牙脱落，增加假牙数目，增加卡环和稳固性。最新德国机光焊接机可以解决金属支架假牙的修理。<br>
<br>
我们的服务承诺，最好的质量，最优的价格，最快的速度。<br>
<br>
我们的位置交通便利，离Ashfield 火车站100米， 凤凰中心 11 号。 楼下大量免费停车位，残疾人通道，全程无障碍。<br><br></p>"
