_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
张医生,fantonynz@gmail.com,,0415268882 / 98788669,http://www.foresthillclinic.com.au,"249 canterbury road, Forest Hill VIC 3131",Traditional Chinese Therapy,9590,东区骨伤科张医生正骨针灸推拿诊所各大保险公司刷卡回扣,,"<p class=""details"">张医师 毕业于南京中医药大学，具有九十年代起中国执业医师资格，纽.澳注册 超过二十年伤科临床经验，运用中医，正骨，针灸，推拿结合现代拉伸整脊，理筋止痛治疗各类骨伤科问题，各种腰背疼痛及脊柱侧弯，高低肩，长短腿等等脊椎，骨盆不正引起的颈 胸 腰 骶疼痛不适，椎间盘突出，坐骨神经痛等；各种关节扭伤、关节痛，腰肌劳损、肩周炎，网球肘，腱鞘炎，运动创伤后遗症等等，诊所地址：249 canterbury road ,Forest Hill VIC 3131（forest hill医疗中心内）<br>
营业时间：周一至周五：9：00 Am-18：00 Pm<br>
周六：9：00 Am---3Pm <br>
预约电话：0415 268 882 ，98788669<br>
提供各大保险公司刷卡回扣<br><br></p>"
Jim,blue88_999@yahoo.com,微信：JimWangMelbourne,03 8821 9868 /  ​0413 708 158,http://www.royalclinic.com.au,"169 Springfield Road, Blackburn North VIC 3130",Traditional Chinese Therapy,10628,王錦培中醫 - 墨爾本台灣中醫,,"<p class=""details""><img src=""Photo_links/Melbourne/10628_V1.jpg"" class=""logo"" width=""110"" alt=""王錦培中醫 - 墨爾本台灣中醫 Company Logo"">畢業於中國醫藥大學，八年制中醫學系。擁有中西醫雙學位。王醫師為新北市中醫師公會和中華損傷整復協會的臨床講師及指導顧問。在台北市立聯合醫院擔任醫師。<br>
<br>
痠痛<br>
肌肉緊繃<br>
坐骨神經痛<br>
中風後遺症<br>
足底筋膜炎<br>
風濕痠痛<br>
骨剌<br>
運動傷害<br>
挫傷<br>
扭傷<br>
<br>
內科<br>
呼吸系統疾病<br>
支氣管炎<br>
過敏性鼻炎<br>
氣喘 <br>
肝膽腸胃疾病<br>
消化性潰瘍<br>
急慢性胃炎 <br>
便秘<br>
泌尿系統疾病<br>
貧血<br>
心血管疾病<br>
睡眠障礙<br>
體質調理<br>
針灸減重<br>
<br>
小兒<br>
過敏體質調整<br>
發育遲緩<br>
轉骨<br>
注意力不集中<br>
好動<br>
脾胃功能不佳<br>
<br>
皮膚<br>
過敏性疾病<br>
蕁麻疹<br>
濕疹<br>
青春痘<br>
掉髮<br>
<br>
婦科<br>
更年期障礙<br>
月經失調<br>
痛經<br>
不孕<br>
產後調理<br><br></p>"
,support@bestong.com.au,,03 9913 7248 / 0434 643 456,,"414 Lower Heidelberg Rd, Eaglemont VIC 3084",Traditional Chinese Therapy,12260,墨尔本中医痛伤诊所 Melbourne Pain Rehabilitation Chinese Medicine,,"<p class=""details"">Dr Robin Jo 世界中风组织成员<br>
AHPRA注册针灸治疗师和中药师<br>
● 韩国SAAM针灸治疗<br>
● 谐波治疗<br>
● 针灸+艾灸+临床按摩+中草药<br>
● 采用韩医和中医针灸疗法可因人治宜<br>
● 草药及艾灸推拿<br>
- 疼痛按摩治疗师<br>
- Saam针灸（韩国针灸）临床研究员<br>
- 医学临床研究员<br>
- 南京大学医院实习生<br>
- 韩国首尔Kyung Hee大学实习生<br>
主修（中风，瘫痪麻痹，痴呆，帕金森病，癌症疼痛管理研究）<br>
治疗<br>
中风、癌症、带状疱疹、贝尔麻痹、帕金森、痴呆、图雷特综合症、耳鸣、抑郁症、失眠、<br>
不孕症、妇科疾​​病、内分泌失调、哮喘、多动症、皮肤病、关节炎和痛风等      <br>
<br>
治疗<br>
中风、癌症、带状疱疹、贝尔麻痹<br>
帕金森、痴呆、图雷特综合症、耳鸣<br>
抑郁症、失眠、不孕症、妇科疾​​病<br>
内分泌失调、哮喘、多动症、皮肤病等<br>
<br>
● 采用韩国人参<br>
● 韩国产艾蒿王(艾灸)<br>
● 采用韩医和中医针灸疗法可因人治宜<br>
● 草药及艾灸推拿<br>
<br>
在古代，草药的有效性取决于煎汤<br>
所花时间和精力。采用传统煎药，<br>
熬煮4-5小时，保留草药的有效成分。<br>
<br>
7天营业，可电话预约<br><br></p>"
Gloria,info@cendorientalclinic.com.au,StayintheCanaan,03 8768 9999 / 0404 161 989,http://www.cendorientalclinic.com.au,"68 Moondarra Drive, Berwick, VIC 3806",Traditional Chinese Therapy,9657,信德东方诊所,,"<p class=""details""><img src=""Photo_links/Melbourne/9657_V3.png"" class=""logo"" width=""110"" alt=""信德东方诊所 Company Logo"">李医师，澳大利亚注册中医师，澳洲全国中医药针灸学会联合会（FCMA）会员，世界中医联合会免疫系统专业委员会理事。<br>
夏医师，澳大利亚注册针灸医师，澳洲全国中医药针灸学会联合会（FCMA）会员，中国痛症学会会员。<br>
医疗团队擅长：<br>
1. 免疫系统疾病：强制性脊柱炎、类风湿关节炎、红斑性狼疮、糖尿病；<br>
2. 运动系统疾病：腰椎间盘突出、颈椎病、坐骨神经痛、网球肘、足跟痛、落枕、肌肉关节痛；<br>
3. 女子疾病：不孕、痛经、月经不调、子宫肌瘤、多囊卵巢综合症、乳腺增生、更年期综合症；<br>
4. 男子疾病：前列腺炎、前列腺肥大、不育、阳萎、早泄；<br>
5. 皮肤病：青春痘、黄褐斑、牛皮癣、湿疹、皮炎、痤疮、手足癣；<br>
6. 泌尿系统疾病：尿失禁、肾结石、尿路感染、膀胱炎；<br>
7. 呼吸系统疾病：感冒、支气管炎、鼻炎、哮喘、咳嗽、甲状腺肿瘤；<br>
8. 消化系统疾病：肠炎、便秘、腹泻、胃炎、消化不良；<br>
9.肝胆疾病：脂肪肝、肝炎、肝硬化、肝肿大、肝腹水、胆囊炎；<br>
1 0. 心脑血管疾病：寇状动脉粥样硬化性心脏病、预防中风；<br>
1 1. 肾脏疾病：肾脏病水肿；<br>
1 2. 神经系统疾病：各种头痛、头晕、抑郁症、失眠、痛风、牙痛、面瘫；<br>
1 3.健康管理：我们在您的健康、诊疗资料的基础上，为您建立个人友好、互动的客户端管理界面 ,永久的个人电子病历及健康管理帐户。<br>
联系我们<br>
Add： 68 Moondarra Drive, Berwick,VIC 3806, Australia<br>
Tel :+61-3-8768-9999<br>
www.cendorientalclinic.com.au<br>
Email :info@cendorientalclinic.com.au<br><br></p>"
平安中医李医生,lyuepingnz@gmail.com,,clinic : 0448 518882 /03 98788669 / 03 90083888,http://www.chinesemedicinemel.com.au,"249 Caterbury Road, Forest Hill, VIC 3131",Traditional Chinese Therapy,9415,平安中医,,"<p class=""details""><img src=""Photo_links/Melbourne/9415_V7.jpg"" class=""logo"" width=""110"" alt=""平安中医 Company Logo"">李跃萍 主任中医师 ，中医学博士，毕业于南京中医药大学，具有二十多年中，纽，澳中医针灸临床经验，曾任新西兰中医学院高级讲师以及临床指导老师十余年，新西兰中华电视网中医专线节目特邀中医师，目前是澳大利亚注册中医师，针灸师，澳洲全国中医药针灸学会联合会会员 (FCMA)。<br>
李跃平主任中医师擅长辨证论治，选用多种针灸治疗方法（如传统针刺，腹针，脐针，艾灸，火罐等）以及中药治疗各种疑难杂症，尤其擅长治疗各种急慢性肌肉损伤和疼痛 (如颈椎病，肩周炎，网球肘，腰肌劳损，腰椎间盘突出症，膝关节肿痛等)；妇科疾病（如月经不调，痛经，不孕症，更年期综合症）；精神科疾病 (如抑郁症，焦虑症，失眠)；男科疾病（如不育，阳痿，早泄，性欲低下）；皮肤科疾病 (如皮肤瘙痒，湿疹，荨麻疹)，消化道疾病 (如慢性腹泻，便秘，慢性胃炎，胃溃疡)，并且擅长各种亚健康保健。<br>
     张医师毕业于南京中医药大学，具有超过二十年中纽澳骨伤科临床经验，擅长运用传统中医正骨，针灸推拿治疗各类骨伤科疾病：如颈椎病，肩周炎，网球肘，腱鞘炎；各种腰背疼痛，椎间盘突出；各种肩，腕，踝关节扭伤；各种退化性关节炎，风湿性关节炎。腰肌劳损、关节痛、运动创伤后遗症、颈椎痛、手脚麻痹、头痛、骨刺、脊柱侧弯、坐骨神经痛..                            <br>
<br>
营业时间：周一至周五：9：00 Am-18：00 Pm<br>
          周六：9：00 Am-15:00 Pm <br>
<br>
在平安中医我们提供各大保险公司刷卡回扣。<br>
<br>
联系方式：<br>
电话：03 98788669 / 0448518882 /03 90083888<br>
地址：249 Canterbury road ,forest hill(FHC 医疗中心内)<br><br></p>"
,reception@myacupuncture.com.au,,03 9543 3866,http://www.myacupuncture.com.au,"1572 Dandenong Rd, Oakleigh East, VIC 3166",Traditional Chinese Therapy,7931,中医妇科 - 辜东权中医师,,"<p class=""details""><img src=""Photo_links/Melbourne/7931_V2.png"" class=""logo"" width=""110"" alt=""中医妇科 - 辜东权中医师 Company Logo"">中医妇科，不孕不育，IVF支持<br>
 <br>
经验主治：<br>
不孕不育，先兆流产，习惯性流产，月经不调，提前，错后，闭经，经间出血，月经过多，过少<br>
月经延长，痛经，子宫内膜异位症，内分泌失调，多囊卵巢综合症，子宫肌瘤，输卵管不通<br>
盆腔炎，崩漏，卵巢早衰，卵巢储备下降（Low AMH)，排卵障碍，妇科疑难杂症<br>
产前产后调理，乳少，白带不正常，阴道炎，外阴炎症<br>
IVF支持：卵子数目，质量，着床，保胎；精子质量低下，男性不育<br>
皮肤：痤疮，湿疹，过敏，骨伤，脾胃消化，咳喘，面瘫，中风<br>
<br>
辜东权中医师出生于中医世家， 其父辜孔进教授为享誉中国名中医。家学渊源，幼受庭训，对中医有浓厚兴趣。 稍长，怀着对中医的求索，考入中国国内重点中医名校，北京中医药大学。其虚心勤奋好学，熟读经典。跟随北京诸名医，待诊经年，得其心传：曾在中医研究院广安门医院，北京护国寺中医院，北京中医院，广东省中医院的妇科， 皮肤科，骨科，中医内科， 针灸科，神经科跟随名家；可谓勤求古训，博采众方。以北京市优秀毕业生称号毕业， 被选配至卫生部直属北京中日友好医院工作。在院内，经受严格医师训练，在多科轮转，急诊，心内科，ICU，CCU，神经内科，妇科等,特别是该院的著名妇科教授许润三，对辜医生妇科的学术思想影响很大。后从事中医的临床，科研，及外国留学生，北京中医药大学学生的教学任务，在诊疗过程中形成自己的独到经验，每获良效。<br>
 <br>
2002 年移民至澳洲，并在墨尔本成立中医诊所，悬壶诊病至今。辜 医师为澳洲中医针灸学会会员， 澳州全国注册中医师针灸师,澳洲生殖学会会员。临诊过程中，辜医师深知病人所苦，感同身受，每每尽心尽力。他勤于临诊，长于思考，集思广益，博采众长，讲究实效。二十多年的医学实践，理论上不断深化，积累了丰富的临床经验。擅长治疗妇科杂病，不孕不育，月经不调，及其它皮肤，消化，神经内科，骨伤疾病。特别是不孕不育症方面，对”补肾调周期 “，”治病，调经，种子”有深入研究。在经他用中药针灸治疗后自然成功受孕病人中，有不少是疑难不孕症病人：包括：高龄（四十多岁）；有 一些是在准备要做 IVF之前中医调理过程中就受孕的，有多囊卵巢，严重子宫 内膜异位，低AMH 患者；有多次IVF 失败而能经中医调理自然受孕的病人。他印象最深的病例：和墨尔本Monash IVF 妇科专家， IVF专家，胚胎学专家 一起，全程结合运用针灸中药治疗一位44岁乳腺癌病人，重新成功接上经冰冻的卵巢组织，组织存活，激素水平恢复，排卵，行自然IVF一次，成功受孕病例。为澳洲首例，世界第二例。中西医结合的典型案例，为许多乳腺癌病人，高龄，有冰冻卵巢组织而想受孕的病人提供了新希望和经验（7号台 及 澳州人 报有报导）。他在运用中医药和针灸结合ＩＶＦ，ＩＵＩ等辅助生殖技术，提高成功率方面也有丰富经验，经他帮助IVF成功怀孕年龄最长的为 53岁（捐卵）。他对习惯性流产，反复IVF失败者的治疗颇有心得。在墨尔本已为上千对夫妇实现他们拥有健康宝宝的梦想。诊所平均每两天就有一位病人怀孕。病人口碑相传，并得到西医妇产专科医生及ＩＶＦ专科医生的推荐。在墨尔本因擅长中医妇科而颇有名气，求医者众多。辜医生曾担当在ＳＢＳ电台中医嘉宾，传播健康知识。辜医生还从事中医的教学工作，在维多利亚大学 及墨尔本自然医药学院任教，他的学生已在墨尔本及澳洲各地行医。教学相长的同时，也 为中医在海外的传播做出了贡献。于《澳洲中医科学杂志》发表有关生殖论文一篇。主要医学著作：《十四经穴临床发挥》《师传锦囊》《针药结合在妇科的运用》。<br>
<br>
毕业于北京中医药大学，中国卫生部北京中日友好医院医师，曾任教于维多利亚大学中医部，墨尔本自然医药学院。家传中医内科妇科。<br>
调经：月经不调，提前，错后，不定期，月经量过多过少，非经期出血，痛经，闭经<br>
种子：不孕不育，精子品质低下，先兆流产，习惯性流产，IVF支持，卵子品质，保胎<br>
产前产后调理：恶露不净，乳少，身痛<br>
妇科杂病：子宫内膜异位症，子宫肌瘤，多囊卵巢综合症，激素不正常。更年期综合征。<br><br></p>"
,mingyi0428@gmail.com,,0452 166 965 / 02 9904 7915,https://mingyitang.com.au,"Shop 58, 427-441 Victoria avenue, Chatswood NSW 2067",Traditional Chinese Therapy,12290,明医堂中医药诊疗中心 Ming Yi Tang Traditional Chinese Medicine Centre,,"<p class=""details""><img src=""Photo_links/Sydney/12290_V1.png"" class=""logo"" width=""110"" alt=""明医堂中医药诊疗中心 Ming Yi Tang Traditional Chinese Medicine Centre Company Logo"">明医堂中医药诊疗中心是有中澳两国著名中医药学者共同策划并创立的国际化特色中医药诊疗中心。明医堂旨在将中医药文化、教育、临床、保健和科研荣威一体，创建一弘扬中医文化推广中医药临床诊疗成果展示中医药特色优势，符合国际标准的现代化中医药特色诊疗中心，开创中医药面相全球的国际化视窗。<br>
<br>
明医堂根据自身优势，汇聚权威专家，运用中医药特色方法，开设以中医肿瘤血液病、妇科为主的专科项目，同时发挥中医药优势，设立中医内科、骨关节病、中医外治、针灸推拿、中医养生系列特色专科。<br>
<br>
明医堂的目标是打造明医堂在国济中医院领域的品牌，简历中医特色医疗保健服务的新模式，行程自身的特色，为更多的所需人群提供优质、可靠的医疗服务。<br>
<br>
明医堂充分发挥世界中医药学会联合会丰富的专家优势，坚持”专家型、技术型、学术型”行医思路，汇聚国内外各学科专业领域的主任医师、医学博士等知名专家学者。其中，明医堂重点科室肿瘤科是世界中医药学会联合会肿瘤外治法专业委员会临床基地，其专家团队由北京中医药大学肿瘤学博士李忠教授、意大利罗马中医学院刘学谦教授、资深中医专家马紫缐主任、清代御医世家薛氏名中医第五代传人薛泳主任等组成明医堂抗癌专家组，专家组总结多年临床经验，首次提出了“癌的状态论”、改变癌状态的“状态疗法”以及“固摄扶正抗癌方”系列中药抗癌汤方，为中医药抗癌做出了重要贡献。<br><br></p>"
倍思堂中医吴医生,admin@bestacupuncture.com.au,,(03) 8839 0748,http://www.bestacupuncture.com.au/zh/,"373 Springvale Road, Forest Hill, VIC 3131",Traditional Chinese Therapy,9021,墨尔本倍思堂好中医针灸诊所,,"<p class=""details""><img src=""Photo_links/Melbourne/9021_V1.png"" class=""logo"" width=""110"" alt=""墨尔本倍思堂好中医针灸诊所 Company Logo"">倍思堂好中医诊所位于墨尔本东区Forest Hill。提供中医各种疗法（针灸、中药、按摩推拿、食疗、刮痧和拔罐等）治疗各种疾病，包括各种疼痛（如头痛、肩颈痛、腰腿痛、网球肘等）、抑郁症、焦虑症、过敏性鼻炎/花粉症、湿疹、肠易激综合征、不孕不育、IVF支持、痴呆、痛风、关节炎、糖尿病、减肥、高血压、肿瘤/癌症控制、亚健康中医调理等等。<br>
<br>
<br>
中医  针灸  跌打  推拿  食疗<br>
Chinese Medicine, Acupuncture, Sports Injury, Massage, Dietary<br>
<br>
统理：内、外、妇、儿、皮肤各科疑难杂病<br>
<br>
* 各种痛症、关节炎 Injury &amp; chronic pain conditions (eg. lower back pain, arthritis) <br>
* 不孕不育、试管婴儿支持 Infertility and IVF support<br>
* 减肥 Weight control (eg. obesity)<br>
* 胃肠消化功能紊乱 Digestive disorders (eg. IBS) <br>
* 情绪障碍（抑郁、焦虑、失眠等）Emotional disorders (eg. depression, anxiety, insomnia) <br>
* 呼吸/过敏问题（如花粉症、鼻窦炎） Respiratory/allergy problems (eg. hay fever, sinusitis) <br>
* 皮肤病症（如湿疹、痤疮）Skin conditions (eg. eczema, acne) <br>
* 癌症支持治疗及其它 Cancer support &amp; misc conditions<br>
* 私保/工伤抵扣 Health Fund/Worksafe Rebate<br>
<br>
<br>
欢迎在线预约http://www.bestacupuncture.com.au/zh/make-an-appointment/<br>
 或致电： (03) 8839 0748 （国、粤、英）<br><br></p>"
Alex,alexchen2728@gmail.com,Wechat: a0936122163,03-98578062,http://www.melbacupuncture.com.au,"29 Chambers St., South Yarra, VIC3141",Traditional Chinese Therapy,12417,墨爾本台灣中醫陳文斌醫師,,"<p class=""details""><img src=""Photo_links/Melbourne/12417_V1.jpg"" class=""logo"" width=""110"" alt=""墨爾本台灣中醫陳文斌醫師 Company Logo"">墨爾本陳文斌中醫師擅長調理各種疼痛，婦科，不孕，皮膚病以及諸如失眠，消化等各種內科問題。<br>
<br>
陳醫師經過嚴謹的醫學訓練，擅長結合現代以及古老的醫學知識。對於癌症，婦科，內科，皮膚科等等病症，陳醫師除了運用原始點針灸療法之外，亦經常搭配中藥，刮痧，拔罐，伸展運動以及食療等方式來調理病人的體質，以期達到內外並治，表裡皆癒的長期效果。<br>
<br>
陳文斌中醫師來自台灣，會講中，英文以及閩南語，熟悉華人國內的各種中醫治療方法。陳醫師長期練習氣功以及靜坐，平時也愛好太極拳與慢跑等運動。陳醫師也經常往返台澳學習並交流最新的中醫醫療技術以及研究成果，以期為病患提供最佳的療法與療效。<br>
<br>
陳文斌中醫師於2009年在台灣原始點基金會接受正式的原始點療法訓練，之後即致力於使用並推廣原始點醫學。2014年受邀至印度及西藏，訓練當地醫師使用原始點療法治病。陳醫師是第一位在澳洲墨爾本推廣原始點訓練的專業醫療人員，同時也是首位在墨爾本醫提供原始點臨床治療的醫師。<br>
<br>
原始點針灸法<br>
經過原始點基金會劉醫師的指導，以及多年的臨床實際應用經驗，陳醫師目前擅長使用原始點針灸法為病人治療各種病痛。原始點針灸法除了可以降低按壓的疼痛感之外，還可以搭配各種穴位的選擇以加強療效，並減少復發的機會。<br><br></p>"
,support@bestong.com.au,,03 9558 5688,,"379 Springvale Rd, Springvale VIC 3171",Traditional Chinese Therapy,12261,华澳中医药中心 Aust Sino Acupuncture,,"<p class=""details"">李文雄硕士; 李开注教授。专医妇科：不孕、IVF支援、习惯性流产、月经不调黑斑、黄褐斑等。男科 家传儿科 皮肤科：精少不育、阳痿早泄、哮喘、斑秃、痤疮等。特效治疗：头晕、美尼尔综合症、头痛、落枕、面瘫、肩周炎、腕管症、网球肘、坐骨神经痛、等。各类疑难杂症；经营各类保健汤料。提供免煎药。<br><br></p>"
