_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
Behnaz Fatehi,hairbeautysalon4@gmail.com,,0397826848,https://hairspraybeautysalon.com.au/,"2/115 Hall Rd, Carrum Downs, VIC, 3201, Australia",Hairdresser,11152,Hairspray Beauty Salon,,"<p class=""details""><img src=""Photo_links/Melbourne/11152_V1.jpg"" class=""logo"" width=""110"" alt=""Hairspray Beauty Salon Company Logo"">At Hairspray Beauty Salon, We are committed to providing hair &amp; beauty salons in Carrum Downs, Victoria &amp; nearby suburbs, with great products &amp; excellent service. We have many years of experience in hair colouring Carrum Downs and well-established facilities to help ensure our clients leave looking good on the outside and feeling fully satisfied on the inside. We hope you feel and look your best when everything is in balance. Through hair spa and hair saloon Sandhurst treatments, it is our aim to help you find peace in your body, mind, and spirit. We strive to give the very highest quality for reasonable prices for all types of services. When you visit Hairspray Beauty Salon, you can expect to enjoy the following services such as Makeup, Hair Styling, Hair coloring, cheap haircut Carrum Downs , eyebrow shaping Carrum Downs, Threading, Kids haircut, keratin treatment and so on. Take care of yourself and relax! To schedule an appointment for any of these treatments, request our hairdresser near me in Hairspray Beauty Salon today. We want to help you feel refreshed and strengthen through a day of comfort and self-care. Contact us at 0397826848.<br><br></p>"
,,,0434 042 402,,"Melbourne, VIC 3000",Hairdresser,6963,city&boxhill 专业美发工作室,,"<p class=""details"">本人曾任职于上海蒂梵尼美容美发及多家专业沙龙担任高级发型总监,以及多家SALON培训讲师.拥有13年丰富专业经验,擅长男女各类时尚剪发.曾就职于MEL CITY SERI等各家专业发廊.... <br>
感谢各位一直以来的捧场~现全职在自己的工作室为各位服务~<br>
为了方便更多CITY附近的朋友~ CITY第二家工作室已经正式·······  <br>
 <br>
另外可做各类时尚烫发,专业染发,离子直发,接发，护理及各类造型等!欢迎各位电话预约!<br><br></p>"
Jenny Wei,info@montalbertlaundry.com.au,Wechat: zhen664465,03 9890 1177,http://www.montalbertlaundry.com.au,"44 Hamilton Street, Mont Albert VIC 3127",Hairdresser,10207,Mont Albert Laundromat & Dry Cleaners,,"<p class=""details""><img src=""Photo_links/Melbourne/10207.jpg"" class=""logo"" width=""110"" alt=""Mont Albert Laundromat &amp; Dry Cleaners Company Logo"">本店在box hill central附近，有近30历史，主营：<br>
衣服干洗/缝补/烫印，<br>
地毯/窗帘/被子的清洗，<br>
面向公司和个人的各种清洗服务，<br>
airbnb代管业务，<br>
各种鞋子的修补，<br>
配钥匙，<br>
店内的洗衣机/干衣机24小时开放<br><br></p>"
,,,0470 588 791,,"Melbourne, VIC 3000",Hairdresser,8230,东区专业改衣服,,"<p class=""details"">男女西装，西裤，牛仔裤，晚礼服，房宽，改窄，改短，换拉链，修补，窗帘，床单，品质好，价钱优惠，欢迎来电预约。<br><br></p>"
,,,（03）9650 1020,,"18 celestial ave, melbourne 3000",Hairdresser,6966,名匠,,"<p class=""details"">墨尔本剪发名店<br><br></p>"
,,,（03）9471 9982,,"280 High st, Preston, VIC 3072",Hairdresser,6964,时光廊美发中心,,"<p class=""details"">TIME CORRIDOR HAIR SALON<br>
<br>
令您美丽又自信<br>
<br>
我们的团队来自韩国，香港，台湾，日本多位高级发型师为您设计时尚发型<br>
<br>
七天营业：9am--9pm<br><br></p>"
,,,（03）9899 0147,,"syd5 Market St, Box Hill VIC 3128",Hairdresser,6967,型格韩日发廊,,"<p class=""details""><br><br></p>"
,,,（03）9670 2649,,"392 Lt Bourke St, Melbourne VIC 3000",Hairdresser,6905,Klinger Shoes And Leather Goods Repairs,,"<p class=""details"">修鞋与皮鞋修复店在墨尔本已经驻扎了35年。店里的师傅来自俄国，具有27年的工作经验，对于各种各样的损坏都了如指掌，非常值得信赖。这家店的经营理念就是希望能够把坏掉的东西稍作修补即可重新利用起来，使他们的寿命延长，减少不必要的丢弃。<br><br></p>"
,,,02 9411 8767,,"SHOP 4, 202 VICTORIA AVE, CHATSWOOD",Hairdresser,3410,HONG KONG & AUSTRALIA BEYOND THE FRINGE HAIR STUDIO,,"<p class=""details""><br><br></p>"
,,,0426 818 386,,"Melbourne, VIC 3000",Hairdresser,6904,轻松熊】人偶服装出租,,"<p class=""details"">适用范围：<br>
一、商业街、儿童乐园、步行街、公园与游人合影。<br>
二、各种商业展销会、博览会。<br>
三、各企业商场的宣传、促销活动。<br>
四、各娱乐场所、主题公园的宣传活动。<br>
五、各种大型聚会、生日会、开业庆典、运动会、婚礼、嘉年华会。<br>
六、幼儿园和公益活动<br><br></p>"
,,,（03）9897 4011,,"878 Whitehorse road, Boxhill, 3128",Hairdresser,6962,时尚概念发型设计,,"<p class=""details"">Mon to Sat: 8:30am - 5:30am<br><br></p>"
,,,03 9855 8812 / 0423 458 466,,"Melbourne, VIC 3000",Hairdresser,6352,专业补发中心,,"<p class=""details"">本公司引进最新韩国技术，专业从事补发，编发，去手术疤痕，头顶系数，半秃，全秃人士带来福音。<br>
采用100%真人头发配合现代最精巧的工艺技术制成，自然舒适，冬暖夏凉，犹如真发再生，缺多少捕多少，不怕风吹雨淋，可洗可吹，自行打理。<br><br></p>"
,,,0433 468 683,,"Melbourne, VIC 3000",Hairdresser,6906,东南区springvale专业裁缝,,"<p class=""details"">价格都是墨尔本改衣店里的一半不到！不赶时间，做工细致精良。<br>
靠近Springvale，<br>
专业工业缝纫机！专业配合不同材质各种线，牛仔线，多种拉链金属拉链选择。<br>
  每周都固定在city 所以在city或者附近的可以和我约时间改衣服如果你不方便来我家。<br>
 <br>
这里的ALTERATION都是差不多统一价格,我在专业的tailoring 剪裁工作，平时可以接一些活也多认识一些朋友。态度认真，<br>
简单的都可以立即提货！在你springvale购物的时候就可以顺便过来找我改<br><br></p>"
