_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
,support@bestong.com.au,,(03) 9802 6645,http://pinewooddental.com.au/%E4%B8%AD%E6%96%87%E4%BB%8B%E7%BB%8D/,"Pinewood Shopping Centre 23 Centreway Mt Waverley, VIC 3149",Medical & Healthcare,9532,Pinewood牙科诊所,,"<p class=""details""><img src=""Photo_links/Melbourne/9532.png"" class=""logo"" width=""110"" alt=""Pinewood牙科诊所 Company Logo"">商家简介 （About us）<br>
<br>
Pinewood Dental Care（PDG) 是一家主要服务Mt Waverley社区的牙医诊所，为该区患者提供专业牙医医疗服务。PDG创立于1976年， 40年来，我们很荣幸为许多家庭的几代人提供了口腔医疗服务。作为家庭口腔卫生的守护者，PDG的使命不光光是帮助患者解决口腔问题，更要帮助他们预防口腔问题。先进的医疗设备，严格的消毒程序，对澳大利亚本地生产高标准牙体填充修复材料的坚持，都让PDG在社区赢得良好口碑，成为该社区维护口腔卫生的好邻居。<br>
<br>
 <br>
<br>
医生简介( About the doctor)<br>
<br>
Jimmy Yang 杨医师<br>
<br>
10余年经验<br>
<br>
西澳大利亚大学牙医学士<br>
<br>
口腔外科进修证书<br>
<br>
专长：预防口腔医学，口腔外科（牙槽手术，牙种植，智齿问题治疗）<br><br></p>"
,info@middleboroughdental.com.au,,(03) 9808 0207,http://middleboroughdental.com.au/%E4%B8%AD%E6%96%87%E4%BB%8B%E7%B4%B9/,"147 Middleborough Rd Box Hill South VIC 3128, Australia",Medical & Healthcare,9499,MDC牙医诊所（Middleborough Dental Care）,,"<p class=""details""><img src=""Photo_links/Melbourne/9499.png"" class=""logo"" width=""110"" alt=""MDC牙医诊所（Middleborough Dental Care） Company Logo"">MDC牙医诊所位于南博士山区的Middleborough路上，为该区患者提供专业牙医医疗服务。牙医诊所有整齐明亮的空间，严格的消毒和专业的牙科器材，广受患者好评，并成为该社区维护口腔卫生的好邻居。MDC牙医诊所坚持舒适高品质的看牙环境，为更多的患者服务。<br>
<br>
ALICE YANG 杨医师<br>
<br>
专长：儿童牙科、全口隐形矫正治疗、美容牙科<br>
澳大利亚墨尔本大学牙医学士<br>
美国POS口腔矫正学会会员医师<br>
隐适美Invisalign隐形矫正专科认证医师<br>
瑞士Straumann植牙牙冠认证医师<br>
皇家墨尔本牙科医院指导牙医师      <br>
<br>
涵盖服务：<br>
儿童牙科<br>
齿列矫正<br>
牙周病治疗<br>
牙齿修复<br>
根管治疗<br>
全瓷牙冠<br>
智齿拔除<br>
洗牙<br><br></p>"
Stever  Hu    &amp;   Sherry   Wang,sherrywangshuying@gmail.com,03 98528966    QQ:584518020    Wechat:  wangshuying502,03 98528688 / 04 01902177,http://dentalinnovationgroup.com.au,34 church street Hawthorn VIC 3122,Medical & Healthcare,9672,创新齿科 Dental Innovation Group PTY LTD,,"<p class=""details""><img src=""Photo_links/Melbourne/9672_V9.jpg"" class=""logo"" width=""110"" alt=""创新齿科 Dental Innovation Group PTY LTD Company Logo"">03 98528688   创新齿科集团总结三十年齿科治疗经验，综合最新齿科科技，聚集各个专业牙科医生，为您提供一站式齿科服务。特设种值牙中心并推出保用终生承诺；小儿牙科中心（资深擅长小儿心理牙医并配有无痛电脑注射仪及笑气，免除孩子看牙的恐惧感）；齿科矫形中心；美容齿科中心（烤瓷牙冠和牙齿漂白）及活动假牙中心；并专长困难根管治疗；困难阻生齿拔除及高难度的活动假牙修复；详情电询：03  98528688<br>
<br>
地址：34 church  street Hawthorn  VIC3122  MELBOURNE<br><br></p>"
,info@yarrahillschiropractic.com.au,,（03）9735 5100,http://yarrahillschiropractic.com.au/%E8%AF%8A%E6%89%80%E7%AE%80%E4%BB%8B/,"413 Main Street, Lilydale VIC 3140",Medical & Healthcare,9541,Yarra Hills 脊椎矫正诊所,,"<p class=""details""><img src=""Photo_links/Melbourne/9541.png"" class=""logo"" width=""110"" alt=""Yarra Hills 脊椎矫正诊所 Company Logo"">Yarra Hills Chiropractic是一家位于Lilydale拥有35余年脊椎矫正经验的诊所，35年来我们已经为20000余名患者提供了高质量的康复服务。我们的理念是帮助患者找出并治愈病痛的源头，提高您的生活质量。<br>
<br>
 <br>
我们是澳大利亚采用Gonstead系统方法进行脊椎矫正治疗的领导者。Gonstead系统是国际公认的一种安全有效脊柱矫正疗法，问世50余年以来广受认可，适用于从婴儿到老年人的各个年龄段患者。<br>
<br>
 <br>
为什么选择我们？<br>
<br>
－35余年的丰富经验<br>
<br>
－6名脊椎矫正师<br>
<br>
－94%的患者满意率<br>
<br>
－比维洲患者平均康复速度快5倍<br>
<br>
－Gonstead系统脊椎矫正治疗领导者<br>
<br>
－数字X光机设备（比传统X射线机少30%的辐射）<br>
<br>
－不需要提前付款<br>
<br>
 <br>
Lua医师（普通话／国语和广东话）<br>
<br>
职位：脊椎矫正师<br>
<br>
资质：<br>
<br>
墨尔本皇家理工大学健康科学学士（脊椎矫正）<br>
<br>
墨尔本皇家理工大学临床脊椎矫正疗法硕士<br>
<br>
 <br>
<br>
上班时间：<br>
<br>
周一：早上9:00－－下午7:00<br>
<br>
周二：早上9:00—— 下午7:00<br>
<br>
周三：早上9:00 —— 下午7:00<br>
<br>
周四：早上9:00 —— 下午1:00<br>
<br>
周五：早上9:00 —— 下午1:00<br>
<br>
 <br>
<br>
专长：<br>
<br>
头痛<br>
<br>
背痛<br>
<br>
颈痛<br>
<br>
运动损伤<br>
<br>
坐骨神经痛<br><br></p>"
,,(03) 9590 0247,(03) 9560 7366,http://www.kingswaymedicalclinic.com.au,"5/40 Montclair Ave,Glen Waverley, VIC 3150",Medical & Healthcare,7773,荣耀家医诊所 Kingsway Medical Clinic,,"<p class=""details""><img src=""Photo_links/Melbourne/7773_V2.png"" class=""logo"" width=""110"" alt=""荣耀家医诊所 Kingsway Medical Clinic Company Logo"">荣耀家医诊所是位于 Glen Waverley 的家医诊所。我们从二〇一二年八月开业以来，一直致力于为多元文化社区的居民提供诊疗与保健服务，协助个人与家庭维持理想的健康生活。<br>
我们的医生认真尽责、经验丰富。无论您的需求是针对短期疾病还是长期慢性病治疗，我们的医生都可以为您提供您所需的医疗帮助。<br>
<br>
我们拥有AGPAL认证, 诊室设备齐全先进，可提供皮肤检查，镭射针灸（帮助病人缓解疼痛），病理检验等服务项目。我们也将最高程度保护您的个人隐私。<br>
<br>
我们尊重并欢迎来自不同文化和背景的病人。 我们理解患者有不同的需求，因此每天都有男 、女医生同时坐诊，并提供多语言服务。如果患者有需要，也可以预约免费的口译服务或Auslan手语翻译服务。<br>
<br>
荣耀家医诊所营业时段长，预约方便迅速，确保您在需要的时候得到最优质的医疗服务。诊所位处交通便利地段，靠近 Glen Waverley 火车站，对面便是大型公用停车场。诊所内设有宽敞舒适的候诊室及幼儿阅读／游戏区，以便患者在候诊时也拥有轻松愉悦的环境体验。<br>
<br>
我们的员工将同心协力为您提供友好与专业的服务。您的健康是我们的首要目标！<br>
<br>
1、荣耀家医诊所位于Glen Waverly火车站对面，交通便利。<br>
2、提供多种语言服务：普通话、台语、马来语、客家话、韩语、印度语。<br>
3、附设检验所，Bulk Bill,Emergency及Afterhour服务，针灸治疗及预防注射。<br>
开放时间：周一至周四  8am to 6pm    周五9am to 8pm   周六 9am to 4:30 pm<br><br></p>"
Dr Stephen Xu,support@bestong.com.au,0398054388,0398054309,http://www.epworth.org.au,"888 Toorak Rd, Camberwell, VIC 3124",Medical & Healthcare,9659,Dr. Stephen Xu Epworth Hospital,,"<p class=""details"">心理精神专家医生Consultant psychiatrist,皇家澳纽心理精神疾病学院院士 FANZCP,  墨尔本大学心理疾病学硕士，二十年前就已获中国主治医生资格，25年中外行医经验，流利中英文。 治疗诊断：心理疏导调节， 失眠，心身疾病，各类焦虑抑郁症，神经衰弱， 躁狂 抑郁双极症,精神分裂症稳定期 ，小儿多动症（8岁以上），青少年心理问题，提高情商，学习及处理问题 能力，记忆力衰退，老年痴呆,临终关怀等。 使用药物及心理辅导，精神分析，禅，催眠，行为认知疗法 。 <br>
私立医院，  恕 不诊治急重症，医闹暴力倾向患者。<br>
可使用 Medicare，TAC，  workcover，须由家庭医生转诊。扣除医保后 费用低 （医学法律报告除外），部分患者 甚至可以免费（bulk bill item 291）。无Medicare 需付全费，然后向保险公司索赔。 有保险者可安排入住私立医院。  <br>
医院前台可能不会说中文， 可请家庭医生将转诊信传真给我，附上您的联系方式。保留选择病人权力.如无法安排您就诊 ，我们会向家庭医生说明情况。 <br>
门诊病人可在医院免费泊车两小时,<br><br></p>"
,hamptonpark@thinkchiropractic.com.au,(03) 9799 8150,(03) 9799 3553,http://thinkchiropractic.com.au/%E8%AF%8A%E6%89%80%E7%AE%80%E4%BB%8B/,"1 Delacombe Drive, Hampton Park, VIC 3976, Australia",Medical & Healthcare,9531,Think脊椎按摩诊所,,"<p class=""details""><img src=""Photo_links/Melbourne/9531.png"" class=""logo"" width=""110"" alt=""Think脊椎按摩诊所 Company Logo"">Think Chiropractic是一家位于Hampton Park拥有10年脊椎按摩经验的诊所，10年来我们已经为4645余名各个年龄段的患者提供了高质量的康复服务。我们的理念是帮患者找出并治愈病痛的源头，提高您的生活质量。<br>
<br>
我们是Hampton Park地区唯一一家采用Gonstead系统方法进行脊柱推拿治疗的诊所。Gonstead系统是国际公认的一种安全有效脊柱按摩疗法，问世50余年以来广受认可，适用于从婴儿到老年人的各个年龄段患者。<br>
<br>
除了脊柱按摩治疗，我们也提供肌筋膜疗法和常规推拿服务。此外，诊所內的数字X光机比传统X射线机少30%的辐射。<br>
<br>
同时，我们有能力为患者提供普通话／国语和广东话服务。<br>
<br>
王医师<br>
职位：脊椎按摩师<br>
<br>
资质：<br>
2013 墨尔本皇家理工大学健康科学学士（脊椎按摩）<br>
2015 墨尔本皇家理工大学临床脊椎按摩疗法硕士<br>
<br>
专长：<br>
头痛<br>
背痛<br>
坐骨神经痛<br>
颈痛<br>
肩痛<br>
脊椎侧弯<br><br></p>"
,reception@riendental.com.au,,(03) 9583 1654,http://www.riendental.com.au/#!chinese/lhisi,"30 Balcombe Rd, Mentone VIC 3194",Medical & Healthcare,9030,睿恩齿科,,"<p class=""details""><img src=""Photo_links/Melbourne/9030.png"" class=""logo"" width=""110"" alt=""睿恩齿科 Company Logo"">郭医生BDS, GCClinDent (Mel)毕业于1998年，技术全面，尤其在种植和矫形方面有特长。对待患者热情耐心，把治疗质量放在第一位。<br>
我们的服务包括：<br>
1：普通牙科：检查、洗牙、拍牙片<br>
2：补牙<br>
3：根管治疗以及根管治疗失败的再治疗<br>
4：各种牙周疾病<br>
5：拔牙：普通拔牙、手术拔牙、拔智牙<br>
6：牙齿修复：牙冠、牙桥、镶假牙<br>
7：儿童牙科<br>
8：牙齿漂白，牙齿美容<br>
9：牙齿种植<br>
10：牙齿矫正<br>
欢迎访问我们的网站www.riendental.com.au网站内所有临床图片均为郭医生治疗过的患者的真实图片。<br>
浏览更多临床治疗图片，欢迎加入我们的FACEBOOK和GOOGLE+。<br>
FACEBOOK：https://www.facebook.com/riendentalcare<br>
GOOGLE+：https://plus.google.com/+RienDentalMentone<br><br></p>"
,SMILE@RINGWOODDENTAL.COM.AU,(03) 9870 6350,(03) 9870 6030,http://ringwooddental.com.au/about-us/%E4%B8%AD%E6%96%87%E4%BB%8B%E7%BB%8D/,"8 WARRANDYTE RD, RINGWOOD, VIC, 3134, AUSTRALIA",Medical & Healthcare,9528,Ringwood Dental,,"<p class=""details""><img src=""Photo_links/Melbourne/9528_V1.png"" class=""logo"" width=""110"" alt=""Ringwood Dental Company Logo"">商家简介 <br>
<br>
Chaung医师和Yang医师是毕业于墨尔本大学的夫妻搭档。他们与同样毕业于墨尔本大学的朋友Kuo医师， Hogan医师在2003年接手了Ringwood地区历史最长的牙医诊所。在过去的12年，他们携手为当地社区提供持续的优良口腔卫生服务, 成为该社区维护口腔卫生的好邻居。其中，口腔美容是Ringwood口腔诊所的王牌项目。<br>
<br>
为什么选择我们？<br>
<br>
－我们的牙医有丰富而广泛的牙科实践经验， 包括儿童口腔护理，口腔美容医学，牙科手术和种植牙，牙龈护理和牙齿矫正，紧急情况护理，老年口腔护理<br>
<br>
－我们目标成为您终生的口腔卫生守护者，为您提供全面的口腔卫生检查<br>
<br>
－我们的员工都经过澳新标准的消毒和感染控制培训<br>
<br>
－我们接受周三周四晚上的预约，周六的预约<br>
<br>
－我们拥有最先进的硬件软件设施和牙医装备,，包括电子病历，口腔内窥镜，减少80%辐射的数字x光机<br>
<br>
－我们坐落于方便的地理位置，2分钟走到Eastland shopping centre，5分钟走到Ringwood火车站和公交车站，364路巴士停靠，有充足的免费停车位<br>
<br>
<br>
医生简介<br>
<br>
Sherry Yang杨医师<br>
<br>
墨尔本大学1998年毕业<br>
<br>
皇家口腔医院，Ballarat, Pakenham, Burwood口腔诊所从业经验<br>
<br>
澳新儿科医学学会会员<br>
<br>
专长： 儿童口腔医学<br>
<br>
老年口腔医学<br>
<br>
牙周问题治疗<br>
<br>
颞颌关节紊乱症<br>
<br>
 <br>
Andy Kuo郭医师<br>
<br>
墨尔本大学2008年毕业<br>
<br>
昆士兰州赫维湾医院从业经验，从小怕牙医的Kuo医师擅长抚慰病人的紧张情绪<br>
<br>
澳洲牙医协会会员<br>
<br>
专长：修复医学<br>
<br>
儿童口腔医学<br>
<br>
牙科麻醉<br><br></p>"
,info@boxhilldental.com.au,（03）9899 6514,（03）9890 7364,http://boxhilldental.com.au/%E4%B8%AD%E6%96%87%E4%BB%8B%E7%BB%8D/,"106 Thames St, Box Hill, VIC 3128, Australia",Medical & Healthcare,9530,Box Hill牙科诊所,,"<p class=""details""><img src=""Photo_links/Melbourne/9530.png"" class=""logo"" width=""110"" alt=""Box Hill牙科诊所 Company Logo"">商家简介 （About us）<br>
Box Hill Dental是一家为您提供全面牙科医疗服务的诊所。无论您想进行常规牙科检查，解决牙疼，智齿问题，或是牙科美容项目，我们都竭诚为您找到最优的治疗方案。我们的目标是通过为您提供全面的口腔卫生检查，帮您尽早预防问题的发生，减少痛苦。<br>
<br>
为什么选择我们？（why us）<br>
－25余年丰富而广泛的牙科实践经验<br>
－客观的独立诊断，不受健康基金的影响<br>
－先进的医疗设备，整洁舒适的环境<br>
－接受大部分的保险计划<br>
－方便的地理位置，靠近医院，有充足的停车位<br>
－多语种服务，包括普通话，广东话，西班牙语和英语<br>
<br>
福利放送（packages）<br>
• 新人VIP礼包*<br>
o 原价$260, 礼包价$180<br>
o 包括局部牙氟化物治疗，全面检查，口腔卫生指导，洗牙，详细治疗方案，2次数字X光检查<br>
• 儿童福利*<br>
o 政府为2-17岁儿童提供价值$1000的基本齿科医疗补助计划<br>
• 年长者福利*<br>
o 普通治疗九折优惠<br>
＊欲知详情，请联系我们<br>
<br>
医生简介( About the doctor)<br>
<br>
May Hoyling （普通话）<br>
昆士兰大学牙科医学荣誉学士<br>
17年临床牙科经验<br>
专长： 冠桥修复<br>
根管治疗<br>
种植牙<br>
智齿拔除<br>
<br>
Vincent Choy蔡医师 (广东话，普通话)<br>
墨尔本大学牙科医学荣誉学士<br>
墨尔本大学牙科医学生导师，考官<br>
专长：冠桥修复<br>
根管治疗<br>
牙科手术<br>
牙科美容<br><br></p>"
