_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
,,,03 9670 0565 / 03 9078 5223,http://www.acemart.com.au,"365 Lonsdale Street, Melbourne VIC 3000",Supermarket,8835,ACE超市,,"<p class=""details""><img src=""Photo_links/Melbourne/8835.jpg"" class=""logo"" width=""110"" alt=""ACE超市 Company Logo"">ACE超市是一个真正方便吃货生活的购物网站，真正的实现了你足不出户吃遍亚洲的愿望。<br>
  ACE超市销售中、日、韩、澳店以及亚洲食品，几乎涵盖了人们日常生活所需的所有食材，调料和零食。大家可以在这里挑选大米，鸡蛋，蔬菜，肉类等原材料，送货到家。对于忙碌的上班族或是想宅在家里的顾客都是十分方便的选择。另外，还有来自中日韩的零食，饮料和雪糕等，有些小零食只有在他们那里才买得到，真可谓种类繁多并且价格公道。墨尔本的吃货们快来淘吧！<br>
 除了食品，Acemart还设有烟，酒，日用品，厨具以及保健品的销售。方便筷，蒸笼，平底锅，湿纸巾，洁衣液等数十种生活用品应有尽有。假果您想吃韩式烤肉或是火锅，您更可以足不出户的一站式在网站购买到全部的用品。方便快捷，给您全新的购物体验。<br>
营业时间：7天营业 10am-10pm，网店24小时<br><br></p>"
Bindi,chankee2014@gmail.com,,0432883517,,"8/303 Springvale Rd, Springvale, Vic 3171",Supermarket,9599,陳記海味專賣店,,"<p class=""details"">專營：鮑魚，海參，花膠，魚翅，燕窩....<br><br></p>"
,,,0402785608,,"2-8 Nicholson Street, Abbotsford VIC 3067",Supermarket,8807,鸣发亚洲超市,,"<p class=""details""><img src=""Photo_links/Melbourne/8807.jpg"" class=""logo"" width=""110"" alt=""鸣发亚洲超市 Company Logo"">鸣发亚洲超市是位于热闹的Victoria Street上一家历史很长的亚洲超市。它多年如一日地提供亚洲中日韩东南亚各地美食，生活用具，生鲜果类和冷冻食品，价格公道，质量过硬，受到大家的普遍欢迎。<br>
鸣发亚洲超市内各种餐具炊具，生活用品一应俱全，冷藏冷冻食品有半成品也有生鲜火锅料，各种口味的雪糕也是一直畅销。还有非常全面的日本，韩国，越南等料理材料和料理用具，几百种不同的调料让你可以调制出自己最喜爱的口味。更有香港原装的传统药品保健品，是在澳大利亚的药房内找不到的哦！<br>
 营业时间：一周七天 9：00am-7:00pm<br><br></p>"
,,,03 9329 8242,,"527 Elizabeth St,Melbourne, VIC 3000",Supermarket,7858,KT MART,,"<p class=""details"">墨尔本大型韩国超市，亲切的工作人员会帮助中国客人选择食物！<br>
在KT MART您可以找到您所需要的全部韩国商品。<br>
我们提供送货服务，只要一个电话，无论您在家还是办公室，农场，我们都会送到您的身边！<br>
开放时间：8:30am - midnight<br><br></p>"
,,,03 9078 4247,,"Shop7 / 284-290 La Trobe Street, Melbourne VIC 3000",Supermarket,8771,冠亚超市(Elizabeth),,"<p class=""details""><img src=""Photo_links/Melbourne/8771.jpg"" class=""logo"" width=""110"" alt=""冠亚超市(Elizabeth) Company Logo"">经过多日不分昼夜的辛勤准备，位于Spencer ST上的Crown Asian Supermarket（冠亚超市）的ELIZABERTH ST 新店在2014年7月18日周五隆重开业了！<br>
  冠亚超市内商品种类齐全，琳琅满目，各种亚洲美食，生鲜蔬果和冷冻肉类应有尽有并且价格合理，每次采购都能满载而归。同时店里环境宽敞干净，产品质量和价格有口皆碑，让人买得舒心，吃得放心。作为想在墨尔本品尝家乡食品的同学，冠亚超市无疑是一站到位的选择。<br>
另外Elizabeth St Store 的冠亚超市新店还有Bottle O的大力支持及加盟，酒类品种齐全。<br>
  新店面积不但更大，经营品种和范围也更多。一样的品质，更多的选择，小伙伴们赶快行动吧，更多惊喜欢迎来新店体验，期待您的光临。<br><br></p>"
,,,03 9500 9796,http://www.organicallygrown.com.au,"190 Glenferrie Road, Malvern VIC 3144",Supermarket,8810,Organically Grown,,"<p class=""details""><img src=""Photo_links/Melbourne/8810.jpg"" class=""logo"" width=""110"" alt=""Organically Grown Company Logo"">Organically Grown是一家20年销售有机水果，有机蔬菜和有机产品的老店。店家老板一生都致力于农作物培育和栽种的工作可谓经验丰富。早在1990年他们就在一家果汁公司开始接触有机食品和耕种了。在1991年，他们接手了Organically Grown这个牌子并且迅速扩展了不只是有机水果和蔬菜，还有官方认证的许多有机产品和有机干粮。<br>
Organically Grown商店是全澳大利亚最早被ORGAA (Organic Retailers and Growers Association of Australia)和NASAA官方认证的有机产品销售商家。店长Bill 从2005年到2008年曾是NASAA董事会成员之一。而Organically Grown也每年都会接受审计和认证。<br>
 100%有机食品和产品更有益于身体健康，口感更好并且更环保。Organically Grown老板不但拥有有机蔬果和产品店，他自己在Belgrave, Victoria也有属于自己的认证有机农场。<br>
Organically Grown保证所有产品和蔬果都是100% 有机认证。他们经营的产品范围有：<br>
     水果和蔬菜，肉类（来自Gippsland的有机牛肉， 散养有机鸡肉），面包，有机鸡蛋，花卉，散装食品，谷物，杂货，蜂蜜，清洁产品，杂粮，小吃，糖果，园艺种子。 另外Organically Grown还提供美味自制咖啡和各种甜品不要忘记品尝哦。<br>
营业时间：Monday-Friday 8:00am-6:00pm, Saturday 8:30am-4:30pm, Sunday 10:00am-4:30pm<br><br></p>"
leo,sparechange@163.com,7838936,0423562761,http://www.sparechange.net.au,"122-188 BALLARAT ROAD, FOOTSCRAY, VIC 3011",Supermarket,8885,Spare Change Gardening Pty Ltd.,,"<p class=""details""><img src=""Photo_links/Melbourne/8885.jpg"" class=""logo"" width=""110"" alt=""Spare Change Gardening Pty Ltd. Company Logo"">批发画板。工具。日用品。<br><br></p>"
,,,03 9894 1740,,"285 Canterbury Rd,Forest Hill, VIC 3131",Supermarket,8525,Strawberry Point新鲜农贸超市,,"<p class=""details"">天天特价，欢迎批发零售。<br>
营业时间：周一至周日 早7点-晚7点<br><br></p>"
,,,03 8689 7706,,"Shop T303 / 201 Spencer Street, Melbourne VIC 3000",Supermarket,8772,冠亚超市(Spencer),,"<p class=""details""><img src=""Photo_links/Melbourne/8772.jpg"" class=""logo"" width=""110"" alt=""冠亚超市(Spencer) Company Logo"">冠亚超市内商品种类齐全，琳琅满目，各种亚洲美食，生鲜蔬果和冷冻肉类应有尽有并且价格合理，每次采购都能满载而归。同时店里环境宽敞干净，产品质量和价格有口皆碑，让人买得舒心，吃得放心。作为想在墨尔本品尝家乡食品的同学，冠亚超市无疑是一站到位的选择。<br>
  另外Elizabeth St Store 的冠亚超市新店还有Bottle O的大力支持及加盟，酒类品种齐全。<br>
 新店面积不但更大，经营品种和范围也更多。一样的品质，更多的选择，小伙伴们赶快行动吧，更多惊喜欢迎来新店体验，期待您的光临。<br><br></p>"
,,,02 9419 2988,,"SHOP B-052, CHATSWOOD CHASE SHOPPING CENTRE, 345 VICTORIA AVE, CHATSWOOD NSW 2067",Supermarket,4573,通利超級市場 CHATSWOOD  - TONGLI SUPERMARKET CHATSWOOD,,"<p class=""details""><br><br></p>"
