_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
0430533119,newhealthau@gmail.com,微信号： newhealth208,029872 7474,http://www.newhealthau.com,"shop208, level one, Carlingford Court Shopping Centre, cnr Pennant Hills Rd and Carlingford Rd, Carlingford, NSW 2118",Traditional Chinese Therapy,10193,新健康中医药诊所,,"<p class=""details""><img src=""Photo_links/Sydney/10193.jpg"" class=""logo"" width=""110"" alt=""新健康中医药诊所 Company Logo"">西北区最大的中医药诊所<br>
看有经验的好中医，看病治病，养生调理，预防疾病<br>
<br>
新健康中医药诊所拥有一批有经验，医疗技术高超，有仁心医德的中医师。我们提供中医问诊，中成药，中药颗粒，针灸，拔罐，推拿。我们也有脊椎神经科医生配合医治各类痛症和脊椎问题。<br>
<br>
医生简介：<br>
<br>
<br>
 刘红石 --澳洲注册中医中药针灸师/青岛市中医药名家 / 30 多年中医临床经验<br>
中国针灸学会临床分会常务理事/山东省针灸学会理事/世界中医药学会联合会外治专业委员会常务理事/ 中华中医药学会养生专业委员会委员/<br>
 专业擅长：偏瘫、面瘫、头痛、偏头痛、眩晕、三叉神经痛、肌无力、震颤麻痹，慢性胃炎、慢性腹泻、肥胖症、各种痛症（痛经、乳腺小叶增生、网球肘、颈肩腰膝腿痛）及亚健康身体调理。<br>
<br>
朱同健--澳洲注册中医中药针灸师/中医本科/20 多年中医临床经验<br>
专业擅长：急慢性颈肩腰背痛，头痛，偏头痛， 牙痛，失眠，抑郁，胃肠功能失调，月经不调，慢性鼻炎<br>
<br>
赵芝 - 澳洲注册中医中药针灸师<br>
专业擅长:  妇科，中医美容。 通过中医对内部的治疗和调理以及外部的养护以达到由内至外的健康美。<br>
妇科：不孕症，人工受孕辅助治疗，流产，多囊卵巢综合症，子宫内膜异位，痛经，经期紊乱， 更年期症状等。 <br>
美容：面部皮肤提升，祛斑，粉刺，减轻皱纹，紧致皮肤，使皮肤光滑， 肤色均匀等。<br>
其它专长： 压力， 失眠，各种痛症，消化系统症状。<br>
<br>
<br>
江春蕾 -- 澳洲注册中医中药针灸师/ 中医本科和硕士/ 10 多年中医临床经验<br>
专业擅长:  妇科各类疾病，产后调理（通乳，月子餐），小儿推拿，皮肤科疾病<br>
<br>
熊鑫-- 澳洲注册脊椎神经科医生<br>
专业擅长：头痛，颈肩腰背痛，网球肘，坐骨神经痛，关节炎，运动损伤，脊柱畸形<br>
<br>
所有私人医疗保险公司可扣回诊金<br>
脊椎神经科医生治疗费有Medicare支付（持有GP家庭医生推荐信）<br><br></p>"
David Lee,wynacuclinic@gmail.com,,0292312160,https://www.davidleeacupuncture.com.au,"shop 6b basement level Hunter Connection 7-13 Hunter Street Wynyard, Wynyard, NSW 2000",Traditional Chinese Therapy,9785,Wynyard Acupuncture & Herbal Clinic,,"<p class=""details""><img src=""Photo_links/Sydney/9785_V1.png"" class=""logo"" width=""110"" alt=""Wynyard Acupuncture &amp; Herbal Clinic Company Logo"">李政道(David Lee) 澳洲註冊中醫師/針灸師<br>
<br>
澳洲註冊中醫師/針灸師<br>
中國醫藥大學中西醫雙主修醫學士<br>
10年中醫藥/針灸經驗<br>
<br>
通國語,英語<br>
診所近Wynyard火車站,出站後進入地下道約500公尺<br>
<br>
联系时请说明是在百事通网站看到的，谢谢。<br><br></p>"
杨海恩,yanghaien@gmail.com,,"0401077293,  ‭02 8102 7900‬",,6/372 Chapel Rd. Bankstown Nsw 2200,Traditional Chinese Therapy,10398,阳媚中医骨伤健康院,,"<p class=""details"">杨海恩<br>
澳洲注册中医师<br>
30年医生经验<br>
原广州中医药大学附属骨伤科医院<br>
骨质增生专科，<br>
医学美容专科<br>
<br>
医学学士（中国广州中医药大学毕业）<br>
草药硕士（悉尼大学）<br>
悉尼健康医学院讲师<br>
<br>
专治：<br>
1.骨质增生骨质疏松，颈痛，颈椎病，腰背痛，腰椎间盘突出症等<br>
2.关节炎：肩关节痛,膝关节痛等。<br>
3.肌肉劳损<br>
4.更年期综合症，失眠，肥胖等。<br>
5.美容治疗：<br>
a.面部护理，美白去斑，去痤疮，青春痘<br>
b激光脱痣去斑<br><br></p>"
,benny_fan@bigpond.com,,(02) 9212 0172 / 0416 213 229,http://bennyfan.com,"Shop 5, 741 George Steet, Sydney NSW 2000",Traditional Chinese Therapy,1417,少林秘術 禦醫傳人 - 方山博士,,"<p class=""details""><img src=""Photo_links/Sydney/1417_V1.png"" class=""logo"" width=""110"" alt=""少林秘術 禦醫傳人 - 方山博士 Company Logo"">方山博士是澳洲注册针灸师，中医师和草药药剂 师，宫廷医学和少林医学传人，陕西中医学院客座教授，福建中医药大学博士，悉尼大学药理研究硕士，其病人包括众多好莱坞和澳洲电影明星，奥斯卡奖明星，和 体育世界冠军，由于他在医学上的神奇疗效，赢得了极佳的声誉。澳洲国家电视台对他进行专访并于7点半新闻播出，中国新华社专门采访方博士及其病人并于亚太 6号卫星向世界播出。《人民日报》《中新社》《中央电视台》《中国国际广播电台》等也多次对他进行采访。他被好莱坞电影公司，澳洲儿童基金会，悉尼歌剧院 等聘为医疗顾问。并受到澳洲总理的表彰，他是华人在西方社会的娇傲！<br>
<br>
方山医师于上个世纪80年代移居澳大利亚，拥有福建中医药大学学士、针灸博士、悉尼大学草药学硕士、陕西中医学院 针灸推拿系客座教授等不计其数的头衔和殊荣。他还是中国武术高段位七段（龙级武士）、嵩山少林寺三十一代弟子（法号：释德峰）。其门下弟子布鲁特在澳大利 亚已开设7家武馆，习武健身者逾千人。布鲁特在2006年的中国《功夫之星》全澳50多家武馆参加的不分级别散打和套路比赛中荣获第一名。晚会上，方山师 徒同台为嘉宾表演了精彩绝伦的中国武术。20多年来，方山医师始终致力于中医药的发展。他深情地说：“中医药承载了两千年中华文化的精髓，博大精深。中医药对诊治各种疾病都有其独特的疗效，关键 是如何发扬和运用。”他表示，将以让西方认同中医、接受中医并尊重中医为己任，为中华文化的发扬光大而不懈努力。<br><br></p>"
,mingyi0428@gmail.com,,0452 166 965 / 02 9904 7915,https://mingyitang.com.au,"Shop 58, 427-441 Victoria avenue, Chatswood NSW 2067",Traditional Chinese Therapy,12290,明医堂中医药诊疗中心 Ming Yi Tang Traditional Chinese Medicine Centre,,"<p class=""details""><img src=""Photo_links/Sydney/12290_V1.png"" class=""logo"" width=""110"" alt=""明医堂中医药诊疗中心 Ming Yi Tang Traditional Chinese Medicine Centre Company Logo"">明医堂中医药诊疗中心是有中澳两国著名中医药学者共同策划并创立的国际化特色中医药诊疗中心。明医堂旨在将中医药文化、教育、临床、保健和科研荣威一体，创建一弘扬中医文化推广中医药临床诊疗成果展示中医药特色优势，符合国际标准的现代化中医药特色诊疗中心，开创中医药面相全球的国际化视窗。<br>
<br>
明医堂根据自身优势，汇聚权威专家，运用中医药特色方法，开设以中医肿瘤血液病、妇科为主的专科项目，同时发挥中医药优势，设立中医内科、骨关节病、中医外治、针灸推拿、中医养生系列特色专科。<br>
<br>
明医堂的目标是打造明医堂在国济中医院领域的品牌，简历中医特色医疗保健服务的新模式，行程自身的特色，为更多的所需人群提供优质、可靠的医疗服务。<br>
<br>
明医堂充分发挥世界中医药学会联合会丰富的专家优势，坚持”专家型、技术型、学术型”行医思路，汇聚国内外各学科专业领域的主任医师、医学博士等知名专家学者。其中，明医堂重点科室肿瘤科是世界中医药学会联合会肿瘤外治法专业委员会临床基地，其专家团队由北京中医药大学肿瘤学博士李忠教授、意大利罗马中医学院刘学谦教授、资深中医专家马紫缐主任、清代御医世家薛氏名中医第五代传人薛泳主任等组成明医堂抗癌专家组，专家组总结多年临床经验，首次提出了“癌的状态论”、改变癌状态的“状态疗法”以及“固摄扶正抗癌方”系列中药抗癌汤方，为中医药抗癌做出了重要贡献。<br><br></p>"
Dr Huang,fealty3@126.com,,0416 770 678,,"84 Endeavour St, Seven Hills NSW 2147",Traditional Chinese Therapy,5790,黄医生针灸诊所 Dr Huang Acupuncture Clinic,,"<p class=""details"">黄芳（Fiona Huang） 澳洲注册中医师/针灸师<br>
健康是人生最大的财富，您的健康是我永恒的追求，您的满意是我最大的喜悦！<br>
黄芳 中医/针灸师  Fiona Huang<br>
手机：0416 770 678/QQ:1297860729/fealty3@126.com<br>
地址：123 Marsden Rd， West Ryde，NSW 2114（近East Wood）<br>
<br>
澳洲政府注册中医/针灸师<br>
广州中医药大学毕业<br>
广州市荔湾区中医院执业中医师<br>
广州市荔湾中医院教授、针灸主任医师孟杰入室弟子<br>
10年中医/针灸/美容/理疗经验<br>
<br>
擅长以下项目：一针疗法，痛症克星，专治疑难杂症。<br>
<br>
v  内调外养法美容：祛斑/祛痘/瘦身减肥/皮肤病/亚健康综合征<br>
<br>
v 心脑血管疾病：中风偏瘫/癫痫/小儿脑瘫/心悸<br>
<br>
v妇科疾病：月经不调/盆腔炎/乳腺增生/痛经<br>
<br>
v消化系统疾病：胃病/胃肠功能紊乱/胃下垂/便秘/汗证<br>
<br>
v神经系统疾病：抑郁症/失眠/焦虑症/更年期综合征/眩晕/耳鸣耳聋<br>
<br>
v痛症：肩周炎/坐骨神经痛/头疼/急慢性扭挫伤<br>
<br>
v骨关节疾病：颈椎病/腰椎病/膝关节炎症/网球肘/足跟痛<br>
<br>
V 呼吸系统疾病：哮喘/支气管炎/鼻炎/咳嗽<br>
服务项目有：中医、针灸诊疗，中医美容减肥、刮痧疗法（包括面部刮痧淋巴排毒治疗面色萎黄，灰暗、蝴蝶斑、黄褐斑、暗疮印、瘦脸抗皱等），拔罐疗法，耳穴疗法，温针疗法，皮肤针，推拿按摩疗法。<br>
<br>
诊疗效果好，口碑好。国语，粤语，客家话，英语沟通。家庭开诊(晚上及节假日兼可预约就诊，方便上班族的顾客)，交通方便，大量停车位，价格公道。<br><br></p>"
Candy,vipmassage95@gmail.com,,0420738008 / 02 95718888,http://vipmassage.com.au/,"1-5 Harwood St, Pyrmont NSW 2009",Traditional Chinese Therapy,9927,VIP Massage,,"<p class=""details"">VIP massage 位于shop95 /1-5 harwood st pyrmont.近city,近赌场近情人港，黄金三角地带。闹市中的静街。周边交通方便。店门口就有停车位。我们提供高级别的治疗放松按摩、精油按摩、足底反射区按摩、冷热石按摩和火爟。也可以跟据你的需求有专业的套餐活动。还有专业脱毛（需要提前预约）。我们的女按摩师来自韩国、中国、日本等亚洲国家。她们用专业的手法和热情的服务解除你身体的疲劳。<br>
<br>
店铺环境舒适干净，我们房间有空调。我们可以收卡消费。欢迎光临！这是一个值得信任的商店!      <br>
<br>
地址：Shop95/1-5 Harwood St, Cnr Pyrmont Bridge Rd, Pyrmont., Pyrmont, NSW 2009<br><br></p>"
,wellenergypractice@gmail.com,,0466 902 369 / 0423 373 393,https://www.wellenergypractice.com,"Unit 1, 4-6 Palmerston Road, Waitara NSW 2077",Traditional Chinese Therapy,5986,WELL ENERGY PRACTICE 維康中醫,,"<p class=""details""><img src=""Photo_links/Sydney/5986_V1.jpg"" class=""logo"" width=""110"" alt=""WELL ENERGY PRACTICE 維康中醫 Company Logo"">Acupuncture (Disposable Needles) 針灸治療 (一次性針灸針)<br>
Facial Rejuvenation Acupuncture 中醫微針灸美顏(臉部拉提,除細紋,抗老化)<br>
Herbal Products for Postpartum Health 產婦月子養生調理藥膳<br>
Chinese Herbal Medicine Consultation 中醫諮詢<br>
Chinese Herbal Medicine Retail 中草藥零售<br>
Hypnotherapy 催眠治療<br>
Vacuum Cupping 拔罐 (火罐)<br>
Remedial Massage 西式治療性按摩<br>
Far-Infrared Scrapping 遠紅外線刮痧<br>
<br>
WELL ENERGY POSTPARTUM PRODUCT 維康本草產婦月子養生調理藥膳<br>
POSTPARTUM HERBAL PACKS X 30 Days 產婦滋養調理組 30天份<br>
TRADITIONAL POSTPARTUM DRINK X 7 Days 產婦首方—生化湯 7天份<br>
ENERGY RECOVERY DRINK X 14 Days 產婦元氣飲 14天份<br>
REFRSHING HERBAL TEA X 14 Days 產婦活力茶 14天份<br>
HERBAL LACTATION DRINK X 7 Days 產婦增乳中藥膳包 7天份<br>
<br>
<br>
Opening Hours 門診時間: 所有門診服務，敬請事先電話預約<br>
Mon – Fri 10:00am – 17:30pm, Thursday 10:00am – 19:30pm<br>
Saturday 10:00am – 17:30pm, Sunday By Appointment<br>
<br>
<br>
Alan Chou 周醫師 J.P. 太平紳士<br>
AHPRA Registered Chinese Medicine Practitioner 澳洲註冊中醫師<br>
USA NGH Hypnotherapist 美國NGH認證催眠治療師<br>
<br>
<br>
Well Energy Practice 維康中醫<br>
Address: Unit 1, 4-6 Palmerston Road, Waitara NSW 2077<br>
Phone: 0466 902 369 / 0423 373 393<br>
Email: wellenergypractice@gmail.com<br>
<br>
Most Health Funds Rebate / HICAPS eClaim Available<br><br></p>"
,info@imperialmedicine.com.au,,02-89711712,http://www.imperialclinic.com.au,"591 George St., Haymarket, NSW 2000",Traditional Chinese Therapy,8750,皇家中醫診所  Imperial Medicine Clinic,,"<p class=""details""><img src=""Photo_links/Sydney/8750.png"" class=""logo"" width=""110"" alt=""皇家中醫診所  Imperial Medicine Clinic Company Logo"">皇家中醫診所 - Imperial Medicine Clinic - www.imperialclinic.com.au<br>
<br>
地址：Suite 10, Level 3, 591 George St., Haymarket, NSW 2000<br>
 <br>
<br>
皇家中醫診所位於悉尼市中心喬治街，WORLDSQUARE 大樓對面，WESPAC 銀行的樓上（三樓）。我們提供針灸中藥各項中醫的傳統療法。中醫師們都是澳洲註冊中醫師，并且是AACMA, ATCMA and ATMS的會員，良好的療效得到了廣大客戶的認可。客戶可申請私人保險回扣（包括針灸和中藥 Acupuncture &amp; Chinese Medicines）。<br>
<br>
 <br>
<br>
服務範圍<br>
<br>
●健康咨詢與診斷 <br>
●針灸拔罐 <br>
●中國成藥 <br>
●配方飲片 <br>
●代客煎藥 <br>
●護膚美容 <br>
●食補食療 <br>
●珍貴細料<br>
●保健食品 <br>
●補品湯料<br>
●醫療器具<br>
<br>
<br>
 主治範圍<br>
<br>
●體虛調理 ●痛經 ●各種疼痛 ●感冒 ●咳嗽 ●暗瘡粉刺 <br>
●鼻敏感 ●胃痛腹脹 ●腎虛夜尿 ●耳鳴眩暈 ●哮喘 ●喉痛聲啞 <br>
●心悸 ● 神經衰弱 ●嘔吐 ●洩瀉 ●習慣性便秘 ●中風 <br>
●面癱 ●風濕痹痛 ●更年期症 ●高血壓 ●糖尿病 ●濕疹<br>
<br>
 <br>
<br>
Imperial Clinic is located in Chinatown in Sydney. Services we provided are including TCM diagnosis and consultation, acupuncture and cupping therapy, Chinese Herbal medicine, prepared herbs and dispensary, decocting and packaging, skincare and beauty therapy, dietotherapy and supplements, valued and rare TCM products, Healthcare and tonics and food, herbal soup ingredients, healthcare tools and devices.<br>
<br>
 All of our practitioners are registered in AHPRA and we are the member of AACMA, ATCMA and ATMS. Be sure to check the policy of health fund and we would be more than happy to help you claim rebate to cover the cost of treatments and therapies from insurance company.<br>
<br>
 We always believe that everyone can enjoy the benefits of Chinese Medicine. Languages and cultures should not be the obstacle to gain health through Chinese Medicine. <br>
<br>
<br>
Our Services<br>
<br>
 ●TCM Diagnosis and Consultation <br>
 ●Acupuncture and Cupping Therapy <br>
 ●Chinese Herbal Medicines <br>
 ●Prepared Herbs and Dispensary <br>
 ●Decocting and Packaging<br>
 ●Skincare and Beauty Therapy <br>
 ●Dietotherapy and Supplements <br>
 ●Valued and Rare TCM Product <br>
 ●Healthcare and Tonics and Food <br>
 ●Herbal Soup Ingredients <br>
 ●Healthcare Tools and Devices <br>
<br>
<br>
<br>
Commonly Treated<br>
<br>
 Conditions and Symptoms most commonly treated at our clinic include:<br>
<br>
 ●Dysmenorrhea ●Menopause ●Infertility <br>
 ●Uterine Fibroid ●Irregular Period ●Amernorrhoea <br>
 ●Sports Injury ●Shoulder Pain ●Neck Pain <br>
 ●Sciatica ●Tennis Elbow ●Lumbar Disc Herniation <br>
 ●Frozen Shoulder ●Lower Back Pain ●Common Cold <br>
 ●Cough ●Allergic Rhinitis ●Asthma <br>
 ●Sore Throat ●Sinusitis ●Depression <br>
 ●Stress ●Anxiety ●Shingles <br>
●Dermatitis/Eczema ●Acne/Pimples ●Rosacea <br>
 ●Stomach Pain ●Flatulence ●Indigestion <br>
 ●Tinnitus ●Dizziness ●Chest Pain <br>
 ●Palpitation ●Vomiting/Nausea ●Diarrhoea <br>
 ●Habitual Constipation ●Stroke Sequelae ●Facial Paralysis <br>
 ●Rheumatoid Arthritis (RA) ●Hypertension ●Fatigue/Tiredness <br>
 ●Cold Hands and Feet ●Insomnia ●Somnolence <br>
 ●Dry Eyes/Puffy Eyes ●Headache/Migraine<br><br></p>"
,yli.tcmclinic@gmail.com,,(02) 9635 1715,https://www.yli-tcmclinic.com,"Shop 1, 75 Phillip Street,  Parramatta, NSW 2150",Traditional Chinese Therapy,12272,大安堂中药行 Y & Li Traditional Chinese Medicine Clinic,,"<p class=""details""><img src=""Photo_links/Sydney/12272_V1.png"" class=""logo"" width=""110"" alt=""大安堂中药行 Y &amp; Li Traditional Chinese Medicine Clinic Company Logo"">传统经验中医师主诊，主治：各种腰腿痛、坐骨神经痛、肩颈背痛、风湿、痛风、跌打损伤、脚跟痛、妇女更年期综合症、月经病、阳痿、失眠、哮喘、咳嗽、暗疮、脱发、皮肤病。<br><br></p>"
